id;bedrooms;sqft_living;sqft_lot;floors;sqft_above;sqft_basement;price
3444100400;3;1790;50529;1;1090;700;349000
3276920270;4;3430;35102;2;2390;1040;832500
4036801170;4;1760;7300;1;880;880;380000
2391600320;3;1040;5060;1;1040;0;480000
6300000287;3;1410;5060;1;910;500;410000
1531000030;4;3450;39683;2;3450;0;720000
5104520400;3;2350;5100;2;2350;0;390000
7437100340;4;1900;5889;2;1900;0;360000
9418400240;2;2020;6720;1;1010;1010;355000
1523059105;3;1680;8712;1;1680;0;356000
1133000671;3;960;6634;1;960;0;315000
4232902595;3;2140;3600;2;1900;240;940000
2599001200;5;2660;8400;1;2660;0;305000
3342103156;3;2770;6278;2;1980;790;461000
1332700270;2;1610;2040;2;1610;0;215000
3869900162;2;1030;1066;2;765;265;335000
2791500270;4;1980;7403;2;1980;0;243500
5036300431;5;3520;6353;2;3520;0;1.10E+06
4168000060;3;1200;10500;1;1200;0;153000
6021501535;3;1580;5000;1;1290;290;430000
6021501535;3;1580;5000;1;1290;290;700000
1483300570;4;3300;10250;1;2390;910;905000
3422049190;3;1960;15681;1;1960;0;247500
1099611230;4;1160;6400;1;1160;0;199000
722079104;3;1810;41800;1;1210;600;314000
7338200240;3;2320;36847;2;2320;0;437500
1952200240;3;2070;13241;1;1270;800;850830
5200100125;3;1980;3478;1;1440;540;555000
7214720075;3;2190;107593;2;2190;0;699950
2450000295;3;2920;8113;2;2920;0;1.09E+06
6197800045;3;1210;33919;1;1210;0;290000
1328310370;3;2340;10005;1;1460;880;375000
546000875;3;1670;4005;1;1170;500;460000
3530510041;2;1240;2493;1;1240;0;188500
1853000400;4;3140;28037;2;3140;0;680000
3134100116;5;2030;12342;2;2030;0;470000
9545230140;4;2310;9624;2;2310;0;597750
3362400511;3;1260;3328;1;700;560;570000
2525310310;3;1540;12600;1;1160;380;272500
6126500060;3;2080;5969;1;1080;1000;329950
8961960160;4;3230;16171;2;2520;710;480000
3626039325;3;4380;6350;2;2780;1600;740500
3362400431;3;1590;1102;3;1590;0;518500
4060000240;2;880;6780;1;880;0;205425
3454800060;4;1570;9600;1;1570;0;171800
1695900060;4;1610;2982;1;1610;0;535000
7278700070;3;2400;6474;1;1560;840;660000
6675500070;3;1450;9132;1;1450;0;391500
3626039187;2;770;6000;1;770;0;395000
3524049083;4;2100;4400;1;1720;380;445000
3275860240;3;2910;10204;2;2910;0;770000
4389200955;4;2750;17789;1;1980;770;1.45E+06
4058801670;3;2100;8201;1;1620;480;445000
8732020310;4;2160;8811;1;1360;800;260000
2331300505;5;2320;4960;2;1720;600;822500
7853210060;4;2070;4310;2;2070;0;430000
3668000070;3;1060;7875;1;1060;0;212000
9545240070;4;2010;9603;1;1440;570;660500
1243100136;3;3950;111078;1;2460;1490;784000
8929000270;3;2010;2287;2;1390;620;453246
2767602356;4;2140;2278;3;2140;0;675000
921049315;3;1320;17390;1;1320;0;199000
3655000070;4;2020;7840;1;1010;1010;220000
4027700812;4;2590;10002;1;1340;1250;452000
3992700335;2;1190;4440;1;1190;0;382500
2767603505;3;1170;1249;3;1170;0;519950
4232901525;2;1110;3200;1;1110;0;665000
1777500060;5;2820;9375;1;1550;1270;527700
1432900240;3;1610;8579;1;1010;600;205000
6140100875;3;1060;8097;1;940;120;420000
6071600370;4;2030;8517;1;1380;650;500000
1526069017;4;3670;315374;2;3670;0;921500
809001525;4;2550;4000;2;2370;180;890000
3224079105;2;2420;60984;2;2420;0;430000
8075400570;5;2260;12500;1;1130;1130;258000
1994200024;3;1430;3455;1;980;450;511000
3362900810;3;1360;3090;2;1360;0;532170
1324300398;3;1110;5000;1;1110;0;560000
537000445;3;1250;8200;1;1250;0;282950
7855801670;4;5180;19850;2;3540;1640;2.25E+06
7920100045;1;700;5100;1;700;0;350000
8960000030;3;1180;7669;1;1180;0;215000
6388930390;5;3960;25245;2;2500;1460;650000
8731900200;4;2640;7500;1;1620;1020;320000
8029200135;3;1270;7198;1;1270;0;247000
1081200350;4;1760;11180;1;1760;0;320000
84000105;5;2060;8632;1;1030;1030;255000
3756500060;3;1780;9660;1;1780;0;438000
7215720160;3;3400;16603;2;3400;0;900000
3574800520;3;1910;7280;1;1160;750;441000
2617300160;3;2020;38332;1;1010;1010;420000
2558660270;3;1580;7000;1;1180;400;370000
2009000370;2;1340;7250;1;700;640;269950
1836980160;4;2680;4499;2;2680;0;807100
3261020370;3;2680;9750;1;1610;1070;653000
1755700060;3;1370;8336;1;1370;0;371500
4330600435;3;1560;21000;1;1560;0;284000
9542800700;3;2160;7140;1;1670;490;272000
1999700045;3;1340;7912;1;1340;0;313000
1762600070;4;3880;35003;2;2570;1310;917500
1687900520;4;2590;8190;2;2590;0;673000
7234600798;3;1120;1100;2;820;300;425000
3881900445;5;1970;5400;1;1320;650;399950
2254502445;3;1220;4800;1;1220;0;385000
5437810320;3;1950;7560;1;1320;630;269950
9158100075;2;1350;8220;1;1060;290;330000
3830630310;3;1670;5797;2;1670;0;260000
8123100045;4;2380;5125;1;1680;700;470000
3127200041;4;2440;9600;2;2440;0;589000
6661200320;2;1050;3419;2;1050;0;163500
11510310;4;3130;13412;2;2140;990;835000
825059270;5;4090;12850;1;2090;2000;1.10E+06
8731951370;4;1490;10000;1;1100;390;269000
1954440060;3;1900;8744;2;1900;0;560000
2264500350;4;1330;2400;1;1330;0;615000
1115810060;3;2230;10026;1;1430;800;585188
9477200200;3;1650;9480;1;1220;430;305000
1432600560;3;1190;8820;1;1190;0;166950
2287000060;3;2140;9897;1;2140;0;799000
3663500060;3;2180;7508;1;1420;760;400000
3996900125;3;1060;10228;1;1060;0;230000
7796450200;3;1690;5025;2;1690;0;256883
7549802535;4;1970;6480;1;1130;840;423000
3278600320;3;2150;4084;2;2150;0;465000
2824079053;3;1910;66211;2;1910;0;440000
1222069094;3;1350;155073;1;1350;0;385000
3542300060;3;860;11725;1;860;0;210000
2222059065;3;1940;14952;2;1940;0;297000
7551300060;3;1010;5000;1;1010;0;470000
100600550;3;1300;7370;1;900;400;226500
3211100860;3;910;8450;1;910;0;274250
3456000310;4;2480;11010;1;1630;850;840000
9526600140;3;2440;4587;2;2440;0;677900
7465900060;3;1010;5864;1;1010;0;425000
1222000055;2;900;9600;1;900;0;180250
6300000550;6;2300;3404;2;1600;700;464000
2310030510;4;1550;7579;2;1550;0;320000
1025049114;3;1270;1566;2;1060;210;625504
8677300550;4;2240;12032;1;2240;0;592500
4014400292;3;2714;17936;2;2714;0;465000
1102000196;4;1720;6270;2;1720;0;477000
257000138;2;850;16400;1;850;0;280000
46100204;5;3300;33474;1;1870;1430;1.51E+06
1909600046;3;2250;5692;2;2250;0;445838
1250202145;2;3900;14864;1;1950;1950;1.07E+06
7611200125;2;1320;10800;1;1320;0;467000
5611500140;4;2760;6440;2;2760;0;686000
7138000260;3;1750;9750;1;1350;400;279950
626059335;4;2330;19436;2;2330;0;527000
1922059282;3;2220;16020;1;1780;440;325000
705700390;3;2020;8379;2;2020;0;328000
7454001200;3;1250;7500;1;1250;0;390000
8682281200;2;1510;6516;1;1510;0;479950
7972000200;4;1720;9753;1;1120;600;264950
722059070;3;1430;15246;1;980;450;235000
7202340400;3;1480;4729;2;1480;0;516500
8096000060;2;1450;15798;2;1230;220;655000
2424000060;4;2280;15347;1;2280;0;500000
9264902050;6;2940;7350;1;1780;1160;315000
943100260;2;1000;10200;1;1000;0;213000
3677400445;3;2480;5280;1;1620;860;475000
1762600320;5;3760;28040;2;3760;0;1.03E+06
4058000060;3;2220;94300;1;1640;580;416000
7228500560;4;1970;4740;1;1670;300;410000
326069104;3;3830;221284;2;3530;300;800000
5152100060;6;4410;14034;1;2350;2060;472000
3584000310;3;1430;8505;1;1430;0;225000
8150100045;2;830;6000;1;830;0;210000
1868901275;2;1430;5000;1;1430;0;455000
6131600075;3;1300;8316;1;1300;0;225000
9468200125;2;1030;3060;1;790;240;480000
8029510030;3;2740;11872;2;2740;0;363000
2025069065;4;3650;8354;1;1830;1820;2.40E+06
7899800890;2;720;5120;1;720;0;181000
3021059276;4;2010;7312;1;2010;0;250000
3797001895;3;1560;3000;1;770;790;481000
3832710960;3;1810;7209;1;1240;570;260000
1310430400;4;3360;7685;2;3360;0;455000
1422300030;3;1510;36224;2;1510;0;415000
1105000588;3;1400;3538;1;800;600;349500
3830630060;3;1730;7442;2;1730;0;245000
5101404898;2;1420;9191;1;1420;0;592500
7972601890;4;2360;7620;1;1180;1180;385000
5127001620;3;1580;11455;1;1200;380;315000
9407100800;3;1230;10170;1;1230;0;255000
1873100060;4;2460;4425;2;2460;0;693000
8722101360;3;1660;4400;1;1460;200;780000
8644000060;3;1270;8470;1;1270;0;237000
3325069129;3;2100;40510;2;1320;780;525000
1400300055;2;770;5040;1;770;0;425000
2123039032;1;760;10079;1;760;0;369900
8078560140;4;1700;7280;2;1700;0;290000
3438500192;3;1120;10701;1;1120;0;285000
7974200510;2;1070;4500;1;1070;0;415000
2557000400;3;2070;9900;1;1420;650;272500
7960900060;4;5050;20100;1;4750;300;2.90E+06
4054500390;4;5310;57346;2;5310;0;1.37E+06
6378500125;2;1040;7538;1;1040;0;436000
1745100140;3;1700;11390;1;1700;0;210000
2976800796;3;1300;5898;1;1300;0;236000
4235400186;3;1080;1306;1;580;500;331000
4215100060;3;2653;4510;2;2653;0;365000
9189700045;3;2290;16258;1;2290;0;450000
1126049053;4;3820;26300;2;2850;970;770000
2022069200;4;2210;49375;1;2210;0;455000
9412900055;3;2390;6000;1;1240;1150;405000
1722059235;4;2600;11325;1;1610;990;304900
6874200960;2;860;5265;1;860;0;170000
7424700045;5;3830;8480;2;2630;1200;2.05E+06
7202360350;4;3500;7048;2;3500;0;780000
5634500392;3;2420;13959;1;1740;680;330000
1509500060;4;2720;8666;2;2720;0;370000
7214810350;5;2500;13500;1;1850;650;467000
6647200060;3;1670;6720;1;1140;530;405000
9552700140;5;2900;10300;1;1450;1450;675000
2200500350;2;1640;14100;1;1140;500;500000
6113400046;4;1890;15770;2;1890;0;389999
6619910140;4;2950;9025;1;1780;1170;630000
1115450240;4;2160;9528;2;2160;0;360000
6073240060;4;3280;11060;2;2270;1010;580000
9297300045;3;1970;4166;2;1270;700;550000
9510920070;4;3360;22111;2;3360;0;879000
5468730030;3;1320;8959;1;1320;0;265000
8079030390;3;2650;7286;2;2650;0;446500
600000152;3;2030;8880;1;1330;700;404000
1840000030;3;1590;11914;1;1090;500;267500
3225069065;4;4550;18641;1;2600;1950;3.08E+06
3260800030;3;2440;7632;2;2440;0;335000
2747100024;3;1940;9000;1;970;970;576000
5104530560;3;2040;3810;2;2040;0;208633
4330600350;3;2200;8750;1;1120;1080;315000
5016001535;3;1920;3300;1;960;960;725000
7280300196;4;1800;7750;1;1400;400;550000
8651520400;4;2180;7297;2;2180;0;610750
7171200445;2;1010;5000;1;1010;0;550700
3204800200;4;3320;10574;2;2220;1100;665000
3416600800;4;2370;4000;1;1980;390;834000
7994700030;5;1660;78408;1;1660;0;201000
1860600135;5;3650;9050;2;3370;280;2.38E+06
4139480200;4;4290;12103;1;2690;1600;1.38E+06
4139480200;4;4290;12103;1;2690;1600;1.40E+06
1328320800;4;1950;7700;1;1350;600;305000
7771300125;3;2590;14052;1;1720;870;487000
3422059208;3;1930;64904;1;1930;0;390000
9521101455;2;1470;3864;1;1170;300;548000
4337000335;4;800;8775;1;800;0;268750
325059286;5;3150;7119;2;3150;0;819900
2597650240;3;2030;16200;2;2030;0;520000
3353400435;3;1450;11204;1;1450;0;230000
7972000240;3;1510;10248;1;1510;0;240000
7520000520;2;1240;12092;1;960;280;232000
7520000520;2;1240;12092;1;960;280;240500
3530210260;3;3030;45004;2;3030;0;274975
1959700550;4;2050;4400;1;2050;0;740000
1665400045;3;1000;7636;1;1000;0;186375
9542850320;3;2370;10289;1;1590;780;790000
3179100060;4;2800;6750;2;1890;910;880000
2946001550;6;2240;11180;2;2240;0;279000
8078490390;3;1810;10530;1;1810;0;295000
9550201550;2;1070;5000;1;1070;0;640000
191100045;4;2490;9525;2;2490;0;940000
5009600070;4;1960;5238;2;1960;0;260000
200350070;3;2930;5569;1;1860;1070;559900
2877103726;4;1510;3500;1;1510;0;791500
405100295;3;1420;8250;1;1420;0;265000
4268200055;3;1740;11547;1;1740;0;245000
3126069068;4;2560;43995;2;2560;0;485000
1115300070;4;3040;8414;2;2420;620;684000
6414100671;3;2500;6840;1;1300;1200;425000
7004200060;4;1275;20000;1;1275;0;309600
7852110140;4;2580;5823;2;2580;0;552250
3969300030;4;1000;7134;1;1000;0;165000
3969300030;4;1000;7134;1;1000;0;239900
4048400070;2;1070;32633;1;1070;0;320000
808000070;3;1390;13464;1;1390;0;206600
7374200030;4;2500;7690;1;1250;1250;387000
7325600160;1;560;12120;1;560;0;299000
2757000030;4;2270;10460;2;2270;0;855000
616000140;3;1900;14400;1;1300;600;315000
3363900111;2;990;3120;1;790;200;437500
9262800171;4;1550;19800;1;1050;500;252000
6607000126;4;2200;7475;1;1100;1100;375000
5416510830;4;1910;4862;2;1910;0;300000
2201500030;4;1750;9600;1;1750;0;420000
325059171;3;1330;77972;1;1330;0;900000
952003285;3;2440;5750;2;1980;460;679900
3211290370;3;1640;29970;2;1640;0;463000
1072010350;5;2760;11340;2;2760;0;380000
8856950070;4;1820;7912;2;1820;0;329500
925059078;3;2110;5608;1;1340;770;604950
7855801090;5;3040;9570;1;1640;1400;795000
723099065;3;1840;40438;2;1840;0;465000
6116500075;4;2990;10400;2;2990;0;673000
1118500030;4;3520;15420;2;3520;0;810000
424069250;4;2440;69415;1;1910;530;785000
3291800710;4;2090;7500;1;1370;720;338000
6838700060;3;1430;7222;2;1430;0;280000
2231500030;4;2180;10754;1;1100;1080;315000
2231500030;4;2180;10754;1;1100;1080;530000
7683900200;5;3450;9914;2;3450;0;380000
8155830060;3;1450;7562;2;1450;0;297000
98020310;4;3230;7331;2;3230;0;730000
9423400140;3;1640;13500;1;1110;530;450000
1545804860;3;1590;7750;1;1060;530;275000
2883200160;4;2020;2849;2;2020;0;595000
7132300695;3;1300;3348;1;1300;0;435000
1726059053;2;1380;209959;1;1380;0;270000
624111000;3;4040;14338;2;3030;1010;950000
808300310;4;2130;5337;2;2130;0;389000
8563040160;4;2550;7800;1;1580;970;560000
713500030;5;4800;14984;2;3480;1320;1.35E+06
8651600160;4;2510;11585;2;2510;0;799000
9517200030;3;1410;9600;1;1410;0;365500
2460700700;3;1650;7352;1;1160;490;252350
1223039290;4;2120;13780;2;2120;0;403950
2890100060;4;2040;10726;1;1380;660;385000
7972600860;4;1550;7620;1;1550;0;345000
8857320070;3;1980;3128;2;1980;0;490000
4047200695;3;1600;26977;2;1600;0;330000
1653500070;4;3300;12090;2;3300;0;927000
1923000030;4;3840;16619;2;3840;0;1.12E+06
3649100320;2;1220;10000;1;1220;0;330000
7375300160;5;2720;8800;1;1500;1220;530000
5175800060;4;1940;25600;1;1940;0;365000
1604601375;3;2160;3000;1;1260;900;378750
2473251090;4;1530;8750;1;1530;0;269900
9126100861;3;1710;2096;2;1290;420;557000
3420069065;4;3730;16980;1;2150;1580;360000
6021501685;2;940;5000;1;940;0;352000
1151100070;3;1750;22357;2;1750;0;437000
8856950240;4;1820;6753;2;1820;0;322500
9385200055;3;1510;2000;2;1330;180;650000
7821200390;3;1290;1213;3;1290;0;450000
8078520310;3;1570;5250;1;1570;0;278500
1565950030;4;1930;6957;2;1930;0;364950
1560930070;4;2840;40139;1;2840;0;840000
6700400140;3;1550;8134;2;1550;0;268000
2422029094;2;833;143947;1;833;0;517534
1774220160;3;2990;32239;2;2990;0;632925
1525200060;3;2000;7251;2;2000;0;577500
1678400105;4;2390;7480;1;2390;0;339000
3426059070;3;2910;37461;1;1530;1380;570000
824079032;4;2085;174240;1;1610;475;563500
2697100140;4;2200;9351;1;1290;910;423000
8724300030;3;1860;5028;2;1860;0;355000
8678500060;5;6070;171626;2;6070;0;1.55E+06
625049299;2;950;3960;1;950;0;482000
6073200075;3;1600;9135;1;1600;0;625000
6388900710;3;2250;11632;2;2250;0;538000
1442860160;3;2280;10255;2;2280;0;380000
7942600310;2;940;5120;1;940;0;375000
1545808560;3;1530;8500;1;1030;500;245000
936000060;5;2190;27260;1;2190;0;310000
9808650060;3;2350;15021;1;1770;580;1.30E+06
3754700160;4;1440;7680;1;1200;240;397000
305500140;3;2200;4052;2;2200;0;365000
5468750060;4;2290;8250;2;2290;0;328500
2944010240;4;4040;19700;2;4040;0;988000
3454000060;4;2610;3277;1;1920;690;1.00E+06
646910160;3;1490;2138;2;1490;0;237000
8564950390;4;2450;5280;2;2450;0;525000
2268400350;4;1710;9627;1;1440;270;749000
7504101040;5;4870;11800;2;3470;1400;722500
11500890;3;3130;8750;2;3130;0;843000
9528102772;2;1270;1372;3;1270;0;438000
284000223;3;2120;10875;1;1540;580;578000
3353401710;3;1670;8230;1;1670;0;227950
8159610030;3;2070;11576;2;2070;0;196000
3179100435;2;1420;5332;1;1070;350;641000
822079033;3;1250;219978;1;1250;0;350000
8857600960;3;940;7980;1;940;0;205000
1774000200;3;1920;9102;1;1920;0;400000
2024069128;3;3545;9816;1;2610;935;1.03E+06
1049010390;3;1260;5460;1;1260;0;505000
7905370390;5;2340;7200;1;1300;1040;475000
4140090240;3;2590;9263;1;1440;1150;520000
4055700030;3;3970;24920;2;3260;710;1.45E+06
3775300030;3;1220;9732;1;1220;0;333500
2525300030;3;1400;10403;1;1400;0;232000
1324059104;3;2360;16117;1;1710;650;691100
2287000030;3;1870;9897;1;1870;0;811000
7702010030;3;2830;5802;2;2830;0;551000
1529200340;3;2260;3640;2;2260;0;496500
2122039094;3;1970;20978;2;1770;200;705000
1742800030;4;3140;9225;1;1770;1370;578000
1796360350;3;1240;8659;1;1240;0;255000
6154500070;4;3450;7832;2;3450;0;1.05E+06
1843100340;3;2570;8491;2;2570;0;348000
8944290160;3;1510;3413;2;1510;0;230000
4166600473;4;2390;11250;2;2390;0;359500
7282300125;3;980;7000;1;980;0;330000
8658300340;1;430;5050;1;430;0;80000
2419600075;3;1480;6360;1;1480;0;465000
2621760350;4;1850;7324;2;1850;0;325000
1723049270;3;2270;28025;1;1920;350;340500
4123840310;3;1810;5192;2;1810;0;342500
2172000075;2;1610;17600;2;1610;0;290900
8651611170;3;3840;6161;2;3840;0;868700
8820902200;4;4110;8400;2;3130;980;1.20E+06
8651610890;4;4190;10259;2;3150;1040;1.15E+06
1853080570;4;3390;6298;2;3390;0;859900
3629920030;4;1890;3006;2;1890;0;520000
1604602050;3;1610;2527;2;1080;530;460000
6844700810;3;1050;4590;1;850;200;438924
66000070;2;630;6550;1;630;0;315000
6665800030;4;2910;10650;1;1780;1130;590000
2205700350;4;1700;8640;1;850;850;378500
5466000030;3;1950;8130;2;1950;0;328500
6189200125;3;2990;9773;2;2990;0;849950
9169600135;3;1350;6000;1;900;450;525000
2625069070;4;4860;181319;2;4860;0;1.39E+06
8732131090;4;2160;7725;1;1460;700;295000
9286000240;6;4860;11793;2;3860;1000;1.07E+06
1895000260;2;890;5000;1;890;0;207950
8691370400;4;2810;7302;2;2810;0;699900
5423010350;5;3400;9500;2;3400;0;1.28E+06
8562501040;4;1580;7350;1;960;620;452000
2475200140;3;1680;5036;1;1680;0;370000
7942100310;3;1300;11230;1;1300;0;232000
3760000030;5;2820;14062;2;2380;440;669950
1727500340;3;1510;6710;1;1070;440;397500
9828702519;2;1230;1391;2;870;360;490000
4432600075;4;2110;4140;2;1710;400;725000
7806300030;3;3080;19635;1;1610;1470;299000
9274202270;2;1490;5750;1;1190;300;625000
7852030960;3;2120;4500;2;2120;0;437500
7852170140;4;3180;5438;2;3180;0;650000
7518503335;2;1490;3825;1;860;630;475000
5467900070;3;1930;11947;1;1930;0;342000
1245002952;4;2770;7800;2;2770;0;1.20E+06
8906200070;3;1670;11610;1;1670;0;280000
5379805885;2;1330;7200;1;1330;0;240000
2769600560;3;1210;3328;1;1210;0;529000
9238901420;3;1190;5100;1;1030;160;442000
5113400431;2;1540;6872;1;820;720;615000
3885805665;4;4030;10800;2;4030;0;1.49E+06
8121200810;4;2430;7559;1;1580;850;585000
5126310400;4;2600;7787;2;2600;0;480000
7322910030;5;4410;57063;2;4410;0;1.10E+06
2827100070;4;1330;8184;1;1330;0;290000
9276201895;3;1900;5000;1;950;950;615000
4402700070;2;1100;7680;1;1100;0;300000
1922059046;3;1980;39150;1;1580;400;308000
925059288;3;2400;7745;2;2400;0;750000
4386700135;4;4760;8036;2;3390;1370;2.25E+06
1923069078;4;3180;194278;2;3180;0;890000
1432400335;3;1190;7560;1;1190;0;288000
1180003090;2;630;6000;1;630;0;190000
726049331;5;2530;5105;1;1520;1010;515000
3340401555;4;1690;11054;1;1690;0;235000
7453000070;2;940;5000;1;940;0;275000
4348800030;2;1240;9119;1;1240;0;727500
7202331420;4;3040;6587;2;3040;0;650000
3225079035;6;6050;230652;2;6050;0;1.60E+06
6381500700;4;1590;7085;1;1590;0;365000
339500160;3;2500;36947;1;2500;0;662000
1545807610;3;1780;7848;1;1320;460;270500
1843200240;2;1360;1898;2;1360;0;200000
4403600270;4;4740;76230;2;4740;0;970000
2008200060;3;1010;9600;1;1010;0;160000
1521069070;3;1040;7405;1;1040;0;204000
2459500310;3;1610;6655;2;1610;0;358000
6204420070;4;1570;8268;1;1570;0;452000
5694500105;2;1510;4000;1;1010;500;595000
5466410030;3;1360;6082;1;1360;0;249000
9485740340;4;1970;5106;2;1970;0;346900
622049114;3;5403;24069;2;5403;0;2.13E+06
2270000070;4;1560;4350;2;1560;0;280000
1310900260;4;2320;12000;1;2270;50;318888
224069094;3;2120;40518;1;2120;0;530000
7800800160;3;2120;18500;2;2120;0;375000
2944000240;4;3350;29242;2;3350;0;910000
4139400710;4;2380;9614;2;2380;0;782000
7899800860;2;1070;649;2;720;350;259950
2473420140;4;2300;18360;1;1560;740;315000
5000500055;2;1320;8865;1;1320;0;215000
4099500935;3;2180;10221;1;1140;1040;705000
1373800295;3;4380;6320;2;3580;800;1.45E+06
4025300135;3;1790;9813;2;1790;0;451000
3294700310;2;750;8125;1;750;0;261000
8718500075;3;1300;8280;1;1300;0;396000
4309710240;4;2990;29170;2;2990;0;725000
5486800070;7;4640;15235;2;2860;1780;1.95E+06
236400320;4;1400;7242;1;1400;0;238000
4376700570;6;2750;9563;2;2750;0;750000
8648100200;4;2050;10271;2;2050;0;331500
3624079046;4;2230;108900;1;1410;820;460000
1921069084;4;2340;217014;1;2340;0;404950
6431500140;3;2870;5163;2;2870;0;880000
2725069050;4;4120;22370;2;4120;0;863000
5307100060;3;2080;9162;1;1370;710;638700
7203102050;3;1840;5680;2;1840;0;435000
561000075;3;1180;5350;1;1180;0;260000
2436701180;5;2160;4000;1;1530;630;671500
809002765;3;1180;3400;1;1180;0;610000
4045500710;2;1160;15029;1;870;290;405000
5104510270;4;1830;5612;2;1830;0;338900
98020350;4;3200;7708;2;3200;0;720000
1714900060;5;2560;5445;1;1760;800;442000
1189000030;5;2550;5040;1;2550;0;650000
2473360060;3;1330;9917;1;1040;290;263500
222069082;2;1220;75794;1;1220;0;300000
8669160310;3;1805;3402;2;1805;0;266000
1526069135;4;6050;84942;2;4150;1900;930000
1088650310;4;2320;5493;2;2320;0;530000
8945200860;3;1384;8960;1;1384;0;180000
7853240200;3;2720;6439;2;2720;0;619000
7511800070;3;1820;10608;1;1820;0;264000
2998800125;2;2130;4920;1;1530;600;730000
3876300310;4;2060;10070;2;2060;0;439000
5419800510;4;1420;7500;1;1080;340;268500
192460060;3;1510;15744;1;1510;0;330000
7942601895;3;2160;4000;1;1960;200;640000
7504010570;3;3180;12600;2;3180;0;900000
1442740140;3;2110;13300;2;2110;0;370000
6909200575;3;2060;2900;1;1330;730;685000
2525069041;3;1830;217800;1;1010;820;505000
3620069036;3;1820;32666;1;1820;0;265000
2781280390;3;1610;2937;2;1610;0;290000
9542830350;4;1780;3600;2;1780;0;296000
1123049053;4;1840;9611;2;1840;0;360000
8018600765;3;1460;10584;1;990;470;240500
3278600240;2;1400;2958;2;1400;0;372500
7846200070;3;3370;14402;2;3370;0;595000
662310400;4;3590;8249;2;3590;0;515000
8651100140;4;3200;15367;2;3200;0;1.22E+06
8682250350;2;1670;6460;1;1670;0;507000
