eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
199301060001,1993,1,6,,0,,235,Yugoslavia,9,Eastern Europe,Zlatibor (District),Sjenica,,,,0,,"01/06/1993: Unknown perpetrators bombed a Muslim-owned cafe in Sjenica, Serbia. No one was injured in the explosion, however the cafe was damaged.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,,,,Muslim-Owned café in Sjenica,175,Serbia-Montenegro,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,-9,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,The explosives blew a hole in the ceiling and destroyed the interior of the cafe.,0,,,,,,,,,,,,,,,,"Muslims suspected that the attack may have been a continuation of those carried out during 1992 in Montenegro, when explosives damaged 40 Muslim businesses within a few months in the town of Pljevlja. Officials suspected that this attack might have been aimed at changing the ethnic structure in the area.","“Muslim-owned café in Sandzak damaged by explosion,” Islamic Republic News Agency, January 9, 1993.",,,CETIS,-9,-9,1,1,
199301060002,1993,1,6,,0,,603,United Kingdom,8,Western Europe,England,London,,,,0,Greater London (Region),"01/06/1993: Four incendiary devices placed by the Irish Republican Army (IRA) ignited in stores in the center of London, United Kingdom, causing considerable damage but no injuries. The IRA claimed responsibility for this attack.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,,,Domestic Businesses,Stores in London,216,Great Britain,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,Unknown,0,,,0,,0,1,3,Call (pre-incident),,,,,,,-9,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,"Damage was limited largely by sprinkler systems in the stores but stocks in one shop, worth about £100,000, were destroyed.",0,,,,,,,,,,,,,,,,This was the first attack by the Irish Republican Army in 1993.,"“IRA devices ignite in London stores,” The Irish Times, January 7, 1993.",,,CETIS,1,0,1,1,
199301060003,1993,1,6,,0,,60,Egypt,10,Middle East & North Africa,Al Fayyum (Governorate),Al-Fayyum,,,,0,,"01/06/1993: Mahmud 'Ali 'Abd-al-Hamid, a member of al-Shawqiyun, stabbed two passengers aboard a bus in al-Fayyum, Egypt. Other passengers on the bus prevented the attacker from fleeing the scene.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,,,Civilians,Civilians traveling in a bus in Al-Fayyum,,,,,,,,,,,,,,,,,,,al-Shawqiyun,,,,,,Unknown,0,,,0,1,1,0,,,,,,,,,-9,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,,,,,,0,0,0,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"Edward F. Mickolus, Terrorism, 1992-1995: A Chronology of Events and a Selectively Annotated Bibliography, Westport, CT: Greenwood Press, 1997.",,,CETIS,-9,-9,-9,-9,
199301070001,1993,1,7,,0,,60,Egypt,10,Middle East & North Africa,Al Qahirah (Governorate),Cairo,,,,1,Tourist bus heading to the Pyramids,01/07/1993: Al-Jama a al-Islamiyya (Islamic Group) claimed responsibility for throwing an explosive device at a bus carrying tourists from Cairo to the pyramids. There were no injuries.,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,19,Transportation,,,Tourist Bus Company,Tourist bus heading to the Pyramids,60,Egypt,,,,,,,,,,,,,,,,,Al-Gama'at al-Islamiyya (IG),,,,,,Unknown,0,,,0,,,1,10,Unknown,,,,,,,-9,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,,"Center for Terrorism and Intelligence Studies, Critical Infrastructure Terrorist Attack Database, San Jose, CA: Akribis Group, July 7 2006.",,,CETIS,0,1,0,1,
199301080001,1993,1,8,,0,,60,Egypt,10,Middle East & North Africa,Al Qahirah (Governorate),Cairo,,,,0,,"01/08/1993: Members of Jemaah Islamiyah threw a time-fused bomb at a tourist bus in Cairo, Egypt. No one was injured in the attack however the bus was damaged from the explosion.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,18,Tourists,,,Tourists,Tourists/Bus Passengers,60,Egypt,,,,,,,,,,,,,,,,,Al-Gama'at al-Islamiyya (IG),,,,,,Unknown,0,,,0,,0,1,10,Unknown,,,,,,,-9,6,Explosives,14,Time Fuse,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,The back window of the bus was shattered.,0,,,,,,,,,,,,,,,,,"“Tourist Bus Bombed in Cairo,” The New York Times, January 8, 1993.","Deborah Pugh, “Egyptian Group Claims New Attacks,” The Guardian (London), January 8, 1993.",,CETIS,0,1,0,1,
199301080002,1993,1,8,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Fermanagh,,,,0,Fermanagh (County),"01/08/1993: The Irish Republican Army (IRA) used rockets and firearms to attack soldiers in Fermanagh, Northern Ireland. No one was injured in the attack. The IRA claimed responsibility for this incident.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,2,Armed Assault,,,3,Police,,,Security Forces,Soldiers of the Security Forces,233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,Unknown,0,,,0,,0,1,10,Unknown,,,,,,,-9,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",5,Firearms,5,Unknown Gun Type,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,,"Ian Graham, “Army Fires Across Border at Terrorist Suspects,” Press Association, January 8, 1993.","David Sharrock, “Army Fires Across Border at Terrorist Suspects,” Guardian, January 8, 1993.",,CETIS,0,0,1,1,
199301080003,1993,1,8,,0,,45,Colombia,3,South America,Antioquia (Department),Medellin,,,,0,,"01/08/1993: A car bomb exploded in front of an apartment complex housing several judges and magistrates in Medellin, Colombia. The two people who planted the bomb were killed, and 39 were injured in the attack that officials blamed on the Medellin Cartel. The apartment complex was damaged considerably.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,2,Government (General),,,Government Judges and Magistrates,Apartment Complex for Government Employees,45,Colombia,,,,,,,,,,,,,,,,,Medellin Drug Cartel,,,,,,Unknown,1,,,0,,0,0,,,,,,,,,-9,6,Explosives,15,Vehicle,,,,,,,,,,,,,The car was carrying 220 pounds of dynamite.,2,0,2,39,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,,"“Medellin Car Bomb Kills 2, Injures 39,” Times-Picayune (New Orleans), January 9, 1993.","“Two Terror Suspects Die When Bomb Explodes,” Miami Herald, January 9, 1993.",,CETIS,0,0,0,0,
199301080004,1993,1,8,,0,,159,Peru,3,South America,San Martin (Region),Moyobamba,,,,0,,"01/08/1993: Armed gunmen of the Tupac Amaru Revolutionary Movement (MRTA) attacked the town of Moyobamba, Peru, killing 10 people and damaging the area.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,,,Town of Moyobamba,Citizens of Moyobamba,159,Peru,,,,,,,,,,,,,,,,,Tupac Amaru Revolutionary Movement (MRTA),,,,,,Unknown,0,,,0,,0,0,,,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,10,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,A US photographer was arrested for taking pictures of the rebel attack.,"“American Photographer Released in Peru,” The Associated Press, January 16, 1993.",,,CETIS,0,0,0,0,
199301080005,1993,1,8,,0,,209,Turkey,10,Middle East & North Africa,Ankara (Province),Ankara,,,,0,,01/08/1993: The Turkish Embassy was hit by a rocket. There is no additional information on this attack.,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),,,Turkish Government,Turkish Embassy,209,Turkey,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,,0,,,,,,,,,-9,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,,,,,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,This was one of two related attacks (cf. 199301080002).,"Center for Terrorism and Intelligence Studies, Critical Infrastructure Terrorist Attack Database, San Jose, CA: Akribis Group, July 7 2006.",,,CETIS,-9,-9,0,-9,
199301080007,1993,1,8,,1,,213,Uganda,11,Sub-Saharan Africa,Unknown,Unknown,,,,0,,"01/08/1993: Twenty-five members of the United Democratic Christian Army abducted five people in an attack on a road rehabilitation unit in Northern Uganda. The attackers kidnapped an Indian citizen, a British citizen, and three Ugandan citizens. The three Ugandans were released after the kidnapping, but the foreigners were kept and their fate was unknown.",1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,19,Transportation,,,,Two foreign civilians working for a road rehabilitation group,999,Multinational,19,Transportation,,,,Three domestic civilians working for a road rehabilitation group,213,Uganda,,,,,,,,,United Democratic Christian Army,,,,,,Unknown,0,,,0,25,0,0,,,,,,,,,-9,13,Unknown,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,1,5,0,,-99,,,0,,,,,,7,Unknown,3,,"Edward F. Mickolus, Terrorism, 1992-1995: A Chronology of Events and a Selectively Annotated Bibliography, Westport, CT: Greenwood Press, 1997.",,,CETIS,-9,-9,1,1,
199301110001,1993,1,11,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Dungannon,,,,0,Ulster (Province),"01/11/1993: The Irish Republican Army (IRA) shot and killed Mr. Matthew Boyd, a Protestant man, in Dungannon, Northern Ireland. The IRA claimed credit for this attack.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,,,Protestant Man of Dungannon,Matthew Boyd,233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,Revenge for the Loyalist paramilitary murders of a Catholic father and son in the same area.,0,,,0,,0,1,10,Unknown,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,Matthew Boyd was the first victim of an IRA ambush in 1993.,"Deric Henderson, “New Retaliation Fears After Protestant is Murdered,” Press Association, January 12, 1993.","Mark Brennock, “Man Dies After IRA Attack,” The Irish Times, January 12, 1993.",,CETIS,0,0,1,1,
199301120001,1993,1,12,,0,,36,Cambodia,5,Southeast Asia,Unknown,Ang Kron,,,,0,,"01/12/1993: A rocket and mortar attack preceded a ground assault on a United Nations Transitional Authority (UNTAC) barracks in Ang Kron, Cambodia. Two Cambodian women employed by UNTAC and a child were killed in the attack. The ground assault by four 10-man teams using AK-47 rifles resulted in two UNTAC civilian policemen injured - an Indian and a Ghanaian. A tent used to register voters for the scheduled spring elections was deliberately fired upon. It was suspected that the Khmer Rouge was responsible.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,13,Other,,,United Nations,United Nations Transitional Authority (UNTAC) barracks,36,Cambodia,,,,,,,,,,,,,,,,,Khmer Rouge,,,,,,Unknown,1,,,0,,0,0,,,,,,,,,-9,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,3,0,0,2,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,This was the first time in the 14-month-old peacekeeping operation in Cambodia that United Nations workers were killed by hostile fire.,"“U.N. Workers Killed by Cambodian Gunmen,” The Washington Post, January 14, 1993.",,,CETIS,0,0,0,0,
199301130001,1993,1,13,,0,,183,South Africa,11,Sub-Saharan Africa,Gauteng (Province),Randfontein,,,,0,,"01/13/1993: The Azanian People's Liberation Army claimed responsibility for a bombing attack on an upscale supermarket in Randfontein, South Africa. Two shops were destroyed and 18 others damaged at a cost of 3 million Rand (approximately $982,600). There were no casualties in this incident.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,,,,Supermarket in Randfontein,183,South Africa,,,,,,,,,,,,,,,,,Azania People's Organization (AZAPO),Azanian National Liberation Army,,,,,Unknown,0,,,0,,0,0,,,,,,,,,-9,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,,0,0,0,0,0,0,1,2,Major (likely >= $1 million but < $1 billion),,"The attack destroyed two shops and damaged 18 others, causing three million South African Rand (approximately $982,600) in damage.",0,,,,,,,,,,,,,,,,,"Edward F. Mickolus, Terrorism, 1992-1995: A Chronology of Events and a Selectively Annotated Bibliography, Westport, CT: Greenwood Press, 1997.",,,CETIS,0,0,0,0,
199301140001,1993,1,14,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,,,,0,Ulster (Province),"01/14/1993: Two unidentified men wearing masks and boiler suits forced their way into the home of Mr. Anthony Butler and shot and killed him while he was in the company of two friends in Belfast, Northern Ireland. The Ulster Defense Association claimed responsibility for this attack. There was no property damage.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,,,Private Citizens,Anthony Butler,233,Northern Ireland,,,,,,,,,,,,,,,,,Ulster Freedom Fighters (UFF),,,,,,Unknown,0,,,0,,0,1,10,Unknown,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,The Ulster Defense Association has also operated under the name Ulster Freedom Fighters (UFF).,"“Belfast Man Shot Dead at his Home,” The Evening Standard (London), January 15, 1993.","Martin Cowley, “Victim’s Mother Denies Claim,” The Irish Times, January 16, 1993.",,CETIS,0,0,1,1,
199301140002,1993,1,14,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,West Belfast,,,,0,Ulster (Province),"01/14/1993: A Protestant man in his forties was seriously injured and his five-year-old grandson received minor wounds in an attack on the man's home in West Belfast, Northern Ireland. The Irish National Liberation Army claimed responsibility for this attack.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,,,Private Citizens,"John ""Bunter"" Graham and his grandson",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish National Liberation Army (INLA),,,,,,Unknown,0,,,0,,0,1,10,Unknown,,,,,,,-9,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,,0,0,0,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,Mr. Graham had survived a number of murder attempts by Republican paramilitaries.,"“Belfast Man Shot Dead at his Home,” The Evening Standard (London), January 15, 1993.","Martin Cowley, “Victim’s Mother Denies Claim,” The Irish Times, January 16, 1993.",,CETIS,0,0,1,1,
