Name,Address,Latitude,Longitude,Location Type,Avg Review,Closure Status,Price Level,Review Date,Ratings,Comment,Covid Safety Mentions,Crowdedness Mentions,Outdoor Seating Mentions,Seating Mentions,Staff Mentions,Curbside Pickup,Delivery,Dine In,Drive Through,In Store Pickup,In Store Shopping,No Contact Delivery,On Site Services,Online Appointments,Online Classes,Takeaway
AMC Aventura 24,"19501 Biscayne Blvd #3001, Aventura, FL 33180",25.9572966,-80.145069,Movie theater,4.1,,,2 weeks ago, 4 stars ,Clean and maintained plus COVID precautions are friendly. I wish there were better instructions for the entrance though.,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
AMC Aventura 24,"19501 Biscayne Blvd #3001, Aventura, FL 33180",25.9572966,-80.145069,Movie theater,4.1,,,2 weeks ago, 4 stars ,"DURING COVID REVIEW:

No ticket counter lines. All purchasing is through the app (AMC, Fandangos, etc). If you download the AMC App (which I recommend), you’ll not only pre-choose your seats but also pre-choose the food you want to eat. …",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
AMC Aventura 24,"19501 Biscayne Blvd #3001, Aventura, FL 33180",25.9572966,-80.145069,Movie theater,4.1,,,a month ago, 2 stars ,I buy a kid's snack pack which includes a soda and after you pay for it they tell you there's no refills due to covid that the only drink that you can refill is a large soda so for $7.50 more I buy a large soda I come out to refill my soda …,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
AMC Aventura 24,"19501 Biscayne Blvd #3001, Aventura, FL 33180",25.9572966,-80.145069,Movie theater,4.1,,,2 months ago, 3 stars ,I give this 3 stars the reason I give it three stars is because during the Corona virus it's very hard to and then of course now the movies doesn't appect cash .but if you want to feel protected its definitely worth going they were gloves …,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
AMC Aventura 24,"19501 Biscayne Blvd #3001, Aventura, FL 33180",25.9572966,-80.145069,Movie theater,4.1,,,a month ago, 5 stars ,The social distancing made it feel safe.,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
AMC Aventura 24,"19501 Biscayne Blvd #3001, Aventura, FL 33180",25.9572966,-80.145069,Movie theater,4.1,,,2 months ago, 5 stars ,"Very clean, service is awesome 😎 even the covid-19 protocols are taken",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
AMC Aventura 24,"19501 Biscayne Blvd #3001, Aventura, FL 33180",25.9572966,-80.145069,Movie theater,4.1,,,6 months ago, 4 stars ,Good experience could use some updated chairs. To much fuss over having something to drink but they said they can't because of coronavirus. I have never heard of anyone getting it through your drink. Maybe they know something I don't😒,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
AMC Sunset Place 24,"5701 Sunset Dr #300, South Miami, FL 33143, United States",25.7051754,-80.2861197,Cinema,4.3,,,a month ago, 5 stars ,Great movie theater for family entertainment. They are super clean and enforce masks. They even have a full bar people! 😃,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,
Amici Barber Shop,"1431 Alton Rd suite b, Miami Beach, FL 33139, United States",25.786172,-80.140758,Barber shop,4.4,,,a month ago, 5 stars ,"Great barber shop. I have been going here for the last 2 years and have never had any issue. Staff is very professional and courteous, the shop is very clean (especially in these Covid times) and the quality of the hair cuts are great. Poly is my primary Barber but I have used others when he is out with no issues.",TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
Anaïs Nails & Spa,"534 W 41st St, Miami, FL 33140",25.813633,-80.130136,Nail salon,4.2,,,a month ago, 5 stars ,A solid go to for standard nail and salon services. Recently went for the first time since COVID reopening and all procedures met expectations. Extremely reasonable for the price.,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Anaïs Nails & Spa,"534 W 41st St, Miami, FL 33140",25.813633,-80.130136,Nail salon,4.2,,,7 months ago, 5 stars ,"I have my nails done here every Friday and love it. They have plenty color options and guide you in your selection if you need it.

The place is clean and they added extra protection after COVID (crystal walls between you and your manicurist)

The prices are fair and people is always kind.

Recommended",TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
Art Deco Museum,"1001 Ocean Dr, Miami Beach, FL 33139, United States",25.780258,-80.1305038,Museum,3.8,,,5 months ago, 4 stars ,"It is a one room museum which took me like 30 minutes to walk thorough because I love art and history so I read and look at everything. walking art tours are offered but because of COVID only once a day, The women's vote exhibit was …",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Art Deco Supermarket,"1435 Washington Ave, Miami Beach, FL 33139",25.7865857,-80.1315983,Supermarket,4.2,,,6 months ago, 1 star ,"Closed the door in my face before they were closed, this was during the hurricane which already sucked because everything is closed early because of Covid 19.
All I needed was ice, the Boardmores ice machine was out.",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,TRUE,,,,,
Art Deco Supermarket,"1435 Washington Ave, Miami Beach, FL 33139",25.7865857,-80.1315983,Supermarket,4.2,,,10 months ago, 5 stars ,"(Translated by Google) Very well you drink everything fresh and everyone watching the social distance. By covid19

(Original)
Muy bien se be todo fresco y todos gurdando la distancia social. Por el covid19",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,TRUE,,,,,
AT&T Store,"339 Arthur Godfrey Rd, Miami Beach, FL 33140, United States",25.8139966,-80.1273603,Mobile Phone Shop,4.5,,,5 months ago, 2 stars ,"The staff were nice and informative but I was very disappointed to have to pay for a new SIM card, especially during COVID just because it isn't a corporate location. That alone makes me rethink about going back, been an AT&T customer since …",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,TRUE,,,,,
Bagel Time Cafe,"3915 Alton Rd, Miami Beach, FL 33140, United States",25.8125407,-80.1355364,Kosher restaurant,4.2,,,2 months ago, 1 star ,"Most (if not all) employees behind the counter were either not wearing masks or not wearing them properly, including those who were cooking and handling food. Masks only seemed to be properly worn by employees as they waited on tables. …",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,TRUE,,,,
Bagel Time Cafe,"3915 Alton Rd, Miami Beach, FL 33140, United States",25.8125407,-80.1355364,Kosher restaurant,4.2,,,7 months ago, 5 stars ,Food was really great! Great service even during COVID 1. Food was fresh and hot,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,,,,TRUE,,,,
Bettant Bakery & Café,"1043 Washington Ave, Miami Beach, FL 33139, United States",25.7813893,-80.132495,Bakery,4.6,,,11 months ago, 5 stars ,Simply the best French bakery on South Beach. The food is scrumptious. The owner is a gem. Service is like family. Kids and dogs are treated with warmth. And it’s open daily during the current crisis with social distancing and masks in place.,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,TRUE,TRUE,,,,,
Big Daddy's Wine & Liquors,"8600 Biscayne Blvd, Miami, FL 33138",25.8540333,-80.1856593,Liquor store,4.6,,,7 months ago, 5 stars ,"OMG the young lady behind the counter was AMAZEBALLS the prices were fair and the store was surprisingly extra extra clean! all I can say is wear ya mask and all will be right in the World....
#WearYaMask is a must at Big Daddies",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,TRUE,TRUE,,,,,
Bravo Supermarkets,"14500 W Dixie Hwy, Miami, FL 33161, United States",25.909486,-80.1694808,Supermarket,3.8,,,2 months ago, 1 star ,I did not see any social distancing. The store was very crowded. I exited that store very quickly. No one was monitoring how many people was coming in. I didn't see any hand or basket sanitizer.,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,TRUE,,,,,
Buenos Aires Bakery & Cafe,"7134 Collins Ave, Miami Beach, FL 33141, United States",25.856824,-80.120751,Argentinian restaurant,4.4,,,a week ago, 5 stars ,Enjoyed the coffee and the breakfast wrap! I'm not a spanish speaker and with the masks it was a little hard to understand them. Worth the back and forth though.,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,,TRUE,,,,TRUE
Buon Pane Italiano Bakery,"729 5th St, Miami Beach, FL 33139, United States",25.7747555,-80.135612,Bakery,4.7,,,a month ago, 2 stars ,"The food was ok, saw a fly inside a glass cake cover with a slice of cake left. And the worse part was after consuming food for four people the lady that seem to be the owner did not allowed my mom who was wearing her mask to use the …",TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,,TRUE,,,,,
BurgerFi,"6812 Collins Ave, Miami Beach, FL 33141, United States",25.8526179,-80.1205981,Restaurant,4.5,,,3 months ago, 5 stars ,"Good social distancing,we ate inside but they've tables outside. They have the best onion rings,has a beer batter flavor to them. Burgers and fries also good.",TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,,TRUE,,,,TRUE
BurgerFi,"6812 Collins Ave, Miami Beach, FL 33141, United States",25.8526179,-80.1205981,Restaurant,4.5,,,4 months ago, 1 star ,"Burger and fries nothing special. Out of chocolate shake, had to have moco. FACE MASK MANDATE NOT OBSERVED by management or some staff VERY EXPENSIVE for below average burgers. $17 for house burger, fries and shake.
Photo of (manager?) on …",TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,,TRUE,,,,TRUE
BurgerFi,"6812 Collins Ave, Miami Beach, FL 33141, United States",25.8526179,-80.1205981,Restaurant,4.5,,,2 weeks ago, 1 star ,Covid breeding ground! Don't come here. They don't clean or sanitize and some of the staff and customers are not wearing masks. Poor service and the place is filthy!,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,,TRUE,,,,TRUE
Burgers & Shakes,"7401 Collins Ave, Miami Beach, FL 33141, United States",25.8596704,-80.1208443,Hamburger restaurant,4.6,,,6 months ago, 4 stars ,"Love that you can eat outside even when the corona histeria is out in full force. Will definitely return for a second and third visit, we need to support the businesses that do not let histeria paralyze them.

Plus, the food was delicious! And they had beers, salads and sweet potato fries, win, win and win!",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,,,,
Burgers & Shakes,"7401 Collins Ave, Miami Beach, FL 33141, United States",25.8596704,-80.1208443,Hamburger restaurant,4.6,,,7 months ago, 1 star ,"Food was Amazing!!!!!!!!!! However if you are older, and do not like picked out of a crowd don’t visit........ we were told to make sure we stay on the blue line for social distancing, to pull my mask up over my nose, we were even asked to …",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,,,,
Burgers & Shakes,"7401 Collins Ave, Miami Beach, FL 33141, United States",25.8596704,-80.1208443,Hamburger restaurant,4.6,,,5 months ago, 5 stars ,Good food & covid-19 safe.,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,,,,
Burgers & Shakes,"7401 Collins Ave, Miami Beach, FL 33141, United States",25.8596704,-80.1208443,Hamburger restaurant,4.6,,,5 months ago, 1 star ,"when using the tables outside, be careful stealing your masks, phone etc ,,,,, when you go in for information if someone found it, do not speak english and are completely poorly educated with customer service !!",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,,,,
Cachito Coffee and Bakery,"251 71st St, Miami Beach, FL 33141",25.8563164,-80.1213216,Espresso bar,4.6,,$,2 months ago, 4 stars ,"Delicious pastries and some of the best empanadas I’ve had in Miami. Very fresh! Charming place and friendly service. I’ll definitely be back.

They are taking very good precautions with Covid- some customers get confused/frustrated having …",TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
Cachito Coffee and Bakery,"251 71st St, Miami Beach, FL 33141",25.8563164,-80.1213216,Espresso bar,4.6,,$,a week ago, 1 star ,Staff made me wear mask at the table :(,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,TRUE
Cafe Prima Pasta,"414 71st St, Miami Beach, FL 33141, United States",25.85595,-80.1227222,Italian restaurant,4.7,,,a month ago, 5 stars ,One of the best restaurants! Service was amazing and welcoming. Food was delicious and good prices. Our waiter Andrew and busboy Gabriel were so kind and quick. Glad I made the choice to eat dinner here. Thank you! Great Ambiance and Happy aura. It was also very COVID-19 safe and friendly.,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,
Cafe Prima Pasta,"414 71st St, Miami Beach, FL 33141, United States",25.85595,-80.1227222,Italian restaurant,4.7,,,2 weeks ago, 5 stars ,"Best italian I had in Miami like in forever. Hands down the pasta, the appetizers the staff, all were up to standard. Hopefully they keep up the good work and stay open despite covid-19",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,
Cafe Prima Pasta,"414 71st St, Miami Beach, FL 33141, United States",25.85595,-80.1227222,Italian restaurant,4.7,,,4 months ago, 4 stars ,"Service was very good & nice atmosphere. We got there a couple hours before they closed, & we’re unable to sit outside due to them closing that section. Food was tasty but the price is a little steep for the quality. All servers wore masks & were very nice.",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,
Cafe Prima Pasta,"414 71st St, Miami Beach, FL 33141, United States",25.85595,-80.1227222,Italian restaurant,4.7,,,6 months ago, 5 stars ,What an amazing night!! Thank you for the incredible food and service. Food came out timely and so delicious. With all this Covid situation my bf and I needed a little safe distraction and Prima pasta provided exactly that. Thanks again andreu for the suggestion on the lobster ravioli pasta! Might come back just for that!,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,
Cafe Prima Pasta,"414 71st St, Miami Beach, FL 33141, United States",25.85595,-80.1227222,Italian restaurant,4.7,,,4 months ago, 5 stars ,"Cafe Prima Pasta did it again. My family dinner was amazing as always. The service was attentive and perfect complement for a delicious food. They took very serious Covid measures and the staff use masks, gloves and offered hand sanitizer. …",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,
Cafe Vert,"9490 Harding Ave, Surfside, FL 33154, United States",25.885039,-80.123685,Breakfast restaurant,4.1,,,a month ago, 5 stars ,This place was packed!! Extremely busy! Never saw anything like this! But the food was just out of this world! It was great! I really enjoy the fact that they are COVID conscious. But i highly recommend. Just be aware that it will take some time because they get very very busy!,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,
Cafe Vert,"9490 Harding Ave, Surfside, FL 33154, United States",25.885039,-80.123685,Breakfast restaurant,4.1,,,a month ago, 5 stars ,"Great food, great service, and a great place to bring your family for breakfast. just don't go when its too busy because it gets packed!! Some of these other customers don't care about COVID and they talk to everyone without their masks. …",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,
Cafe Vert,"9490 Harding Ave, Surfside, FL 33154, United States",25.885039,-80.123685,Breakfast restaurant,4.1,,,a month ago, 5 stars ,"Very very very busy place! but they manage to make very good food! the service takes a bit of time but only because they are always packed! loved the French Toast! Also, they are very careful regarding COVID, and we appreciated it!",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,
CAO Bakery & Cafe,"1420 Alton Rd, Miami Beach, FL 33139, United States",25.7860178,-80.1414845,Bakery,4.4,,,2 weeks ago, 2 stars ,Update your times on your website. I give lots of space and Grace for covid however changing a website doesn't take very long these days.,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,,,,TRUE,,,,
Carillon Miami Wellness Resort,"6801 Collins Ave, Miami Beach, FL 33141",25.8529812,-80.1201794,5-star hotel,4.6,,494,2 months ago on Google,44291,This is our second time staying at Carillon. The property is beautiful and the pools are very nice. The gym is spacious with 24/7 access. The spa is one of the nicer ones we’ve visited although some features are not available with COVID …,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Carpool Cinema Wynwood - Movie Theater,"2418 N Miami Ave, Miami, FL 33127, United States",25.8004932,-80.1953353,Drive-in Cinema,4.5,,,6 months ago, 2 stars ,"Your website is full of viruses!
I click showtimes and I get redirected to ""meet local singles"" I click to search for movies and it redirects me to a website to click cuz i won 100000 dollars.",TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,
Causeway Square,"1801 NE 123rd St, Miami, FL 33181",25.8899554,-80.1619152,Corporate office,4.3,,,3 months ago, 5 stars ,Great Covid19 measures in place!,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Cecconi's Miami,"4385 Collins Ave, Miami Beach, FL 33140",25.8159746,-80.1220196,Restaurant,4.3,,$$$,a month ago, 1 star ,"Made reservation for 6. Used a credit card to reserve. 5 friends showed up and 1 friend had covid symptoms so they elected not to come to the dinner ...BEING RESPONSIBLE DURING A PANDEMIC. the credit card was charged for ""no show"" because 1 …",TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,,,,,,,,TRUE
Cecconi's Miami,"4385 Collins Ave, Miami Beach, FL 33140",25.8159746,-80.1220196,Restaurant,4.3,,$$$,a month ago, 2 stars ,"Disappointment. While we normally dont go for breakfast so much North, we wanted to try it. The place is nicely decorated, it must be really nice for dinner, really cool bar. Tables were dirty from previous eaters (and it is covid time), …",TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,,,,,,,,TRUE
Charlotte Bakery,"1499 Washington Ave, Miami Beach, FL 33139, United States",25.7876382,-80.1316025,Bakery,4.6,,,4 months ago, 1 star ,"(Translated by Google) The food is generally good, but I have already been several times and they are careless with the use of masks and the same happens with the customers. If you don't care about your health go ahead, the food tastes …",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,,,,TRUE,,,,
Chevron,"401 71st St, Miami Beach, FL 33141, United States",25.8562928,-80.1225774,Petrol Station,2.3,,,6 months ago, 1 star ,This guys don't care about covid 19 rules clerk not using face mask and no  social distancing,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Chicken Kitchen,"524 Arthur Godfrey Rd, Miami Beach, FL 33140, United States",25.8135328,-80.1299331,Health food restaurant,4.2,,,5 months ago, 2 stars ,I rated this location with two stars based on cleanliness and staff unfriendly attitude.  The chicken is marinated in a large trash container and staff does not wear masks when preparing food. During both recent visits to this location …,TRUE,FALSE,FALSE,FALSE,TRUE,,,TRUE,TRUE,,,TRUE,,,,
Chicken Kitchen,"524 Arthur Godfrey Rd, Miami Beach, FL 33140, United States",25.8135328,-80.1299331,Health food restaurant,4.2,,,4 months ago, 1 star ,"(Translated by Google) Rotten food and they don't wear masks and the man who attends touches his parts is disgusting

(Original)
Comida podrida y no usan mascarillas y el señor que atiende se toca sus partes es un asco",TRUE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,,,TRUE,,,,
Coral Gables Art Cinema,"260 Aragon Ave, Coral Gables, FL 33134, United States",25.7502793,-80.2598767,Cinema,4.8,,,5 months ago, 5 stars ,"Saw Tenet in 70mm here. The feeling of being drawn into a movie can't be explained. You need to come here and experience it, amazing customer service and covid-19 friendliness a nice added bonus.",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Crespi Park,"7801 Crespi Blvd, Miami Beach, FL 33141",25.8640749,-80.128076,Park,4.5,,,7 months ago, 5 stars ,Yo the virus has taken over add back basketball courts please,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Crunch Fitness - South Beach,"1259 Washington Ave, Miami Beach, FL 33139, United States",25.783867,-80.1317541,Gym,3.4,,,7 months ago, 3 stars ,"Crunch seemed to be more clean before COVID-19.  Now they just depend on each customer to clean their own workout machine before and after each use, but do they?

To me and my friend who also works out there it seems dirtier now.  Also, …",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Crunch Fitness - South Beach,"1259 Washington Ave, Miami Beach, FL 33139, United States",25.783867,-80.1317541,Gym,3.4,,,2 months ago, 3 stars ,Gym ok. No one polices Covid rules. Too many people don't wear masks.,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Crunch Fitness - South Beach,"1259 Washington Ave, Miami Beach, FL 33139, United States",25.783867,-80.1317541,Gym,3.4,,,9 months ago, 5 stars ,Glad they are open after covid!,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
CRYSTAL BEACH FITNESS,"6985 Collins Ave, Miami Beach, FL 33141, United States",25.8560146,-80.1203221,Spa and health club,3.7,,,7 months ago, 5 stars ,"very clean, Professional staff, amazing experience and they are strickly enforcing masks and cleanliness during this stressful time.",TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
CVS,"1421 Alton Rd, Miami Beach, FL 33139",25.7859857,-80.1406777,Drug store,3.6,,,2 years ago, 2 stars ,I use this pharmacy and I would give it 5 stars - but allowing  a sick attendant to work without wearing a mask is against health regulations. She sneezed all over my medicine wiped her mucus on her clothes (this is so disgusting) I told …,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,TRUE,TRUE,,,,,
CVS,"555 Washington Ave, Miami Beach, FL 33139, United States",25.7750609,-80.1336564,Chemist,3.8,,,5 months ago, 1 star ,Came in to purchase from my pharmacy! Had an emergency to use the bathroom and no one wanted to help me! And nobody had a response to why I can’t use the bathroom. One said because of the covid and completely ignored me after I asked a …,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,TRUE,TRUE,,,,,
Cypo Brazil Grill,"7438 Collins Ave, Miami Beach, FL 33141, United States",25.8602968,-80.1212999,Restaurant,4.5,,,a month ago, 3 stars ,"Compared to other brazilian places..not good..im not a believer in masks, but it would bother people none are used there..the picana..nao bem.",TRUE,FALSE,FALSE,FALSE,FALSE,,,TRUE,,,,TRUE,,,,TRUE
Cypo Brazil Grill,"7438 Collins Ave, Miami Beach, FL 33141",25.8602968,-80.1212999,Restaurant,4.5,,$$,a month ago, 3 stars ,"Compared to other brazilian places..not good..im not a believer in masks, but it would bother people none are used there..the picana..nao bem.",TRUE,FALSE,FALSE,FALSE,FALSE,,,TRUE,,,,TRUE,,,,TRUE
Design Suites Miami Beach,"5445 Collins Ave, Miami Beach, FL 33140, United States",25.8344132,-80.1202965,3-star hotel,3.5,,,a month ago on Hotels.com,44479,"It was a great experience! I was able to celebrate my birthday alongside family and friends. The BEST thing was that the staff wasn't obsessed about wearing masks, I felt FREE for change",TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
Design Suites Miami Beach,"5445 Collins Ave, Miami Beach, FL 33140, United States",25.8344132,-80.1202965,3-star hotel,3.5,,,4 months ago on Google,44291,View is amazing. Room is good. Pool area is nice and direct access to the beach! Security are definitely mask nazis. Other staff is friendly and valets are fairly quick and courteous.,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
Design Suites Miami Beach,"5445 Collins Ave, Miami Beach, FL 33140, United States",25.8344132,-80.1202965,3-star hotel,3.5,,,6 months ago on Google,44201,Not all employees wear masks. Administration does not have employees enforcing covid guidelines. Did not feel safe at all in this place.,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
Design Suites Miami Beach,"5445 Collins Ave, Miami Beach, FL 33140, United States",25.8344132,-80.1202965,3-star hotel,3.5,,,3 months ago on Hotels.com,44296,"Our room was horrible! The air didn’t work, the bed was hard as hell! And they don’t offer room service because of the covid! The towels you use you have to wash them yourself, The shower didn’t get hot! And the walls looked horrible!",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Design Suites Miami Beach,"5445 Collins Ave, Miami Beach, FL 33140, United States",25.8344132,-80.1202965,3-star hotel,3.5,,,5 months ago on Google,44321,At the times we in with this Covid19 thing there open 24hrs,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Donna Mare Trattoria,"3921 Collins Ave, Miami, FL 33140, United States",25.811864,-80.122994,Italian restaurant,4.3,,,a week ago, 5 stars ,"I enjoyed their delicious food, drinks, and very nice service. The restaurant is clean and servers wear masks and gloves.",TRUE,FALSE,FALSE,FALSE,TRUE,,,TRUE,,,,TRUE,,,,TRUE
