"FACID","NAME","TYPE","LTC","CAPACITY","ADDRESS","CITY","ZIP","FACADMIN","CONTACT_EMAIL","CONTACT_FAX","CONTACT_PHONE_NUMBER","COUNTY_NAME","COUNTY_CODE","DISTRICT_NUMBER","DISTRICT_NAME","LICENSE_NUMBER","INITIAL_LICENSE_DATE","LICENSE_EFFECTIVE_DATE","OSHPD_NUMBER","LATITUDE","LONGITUDE","LOCATION"
20000677,"SUNSHINE ICF/DDH #5","INTERMEDIATE CARE FACILITY-DD/H/N","LTC",6,"16829 DARYL AVENUE","SAN LORENZO",94580,"Vunderman, Zamfira","","(925) 736-7914","(925) 736-7913",0,"ALAMEDA",2,"EAST BAY",20000335,"18Oct1989","18Nov2014","",37.6871452332,-122.1162185669,""
20000681,"SUNSHINE ICF/DDH #6","INTERMEDIATE CARE FACILITY-DD/H/N","LTC",6,"16837 DARYL AVENUE","SAN LORENZO",94580,"Vunderman, Zamfira","","(925) 736-7914","(510) 276-7434",0,"ALAMEDA",2,"EAST BAY",20000336,"18Oct1989","18Nov2014","",37.6870079041,-122.1162261963,""
20001271,"ALLIANCE HOME HEALTH CARE","HOME HEALTH AGENCY		","Non-LTC",0,"12657 ALCOSTA BOULEVARD","SAN RAMON",94583,"Devoto, Andrea","sleal@alliancehhc.com","(925) 275-9304","(925) 275-9300",60,"CONTRA COSTA",2,"EAST BAY",20000643,"19Dec2002","19Dec2014","",37.7731018066,-121.960319519,""
20001287,"EAST BAY INTEGRATED CARE, INC. - BRUNS HOUSE","HOSPICE FACILITY	","Non-LTC",6,"2849 MIRANDA AVENUE","ALAMO",94507,"Hatton, Cynthia","cindyh@hospiceeastbay.org","(925) 887-5672","(925) 887-5678",60,"CONTRA COSTA",2,"EAST BAY",20000650,"05May2004","25Mar2015","",37.8614959717,-122.0211486816,""
30000046,"WINDSOR EL CAMINO CARE CENTER","SKILLED NURSING FACILITY","LTC",178,"2540 CARMICHAEL WAY","CARMICHAEL",95608,"Hammam, Tighe","info@windsorcares.com","(916) 482-7813","(916) 482-0465",440,"SACRAMENTO",3,"SACRAMENTO",30000032,"30Mar1962","01Apr2015","206340862",38.6110572815,-121.3269805908,""
30000108,"SUTTER AMADOR HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",52,"200 MISSION BLVD","JACKSON",95642,"Platt, Anne","platta@sutterhealth.org","(209) 223-7454","(209) 223-7500",20,"AMADOR",3,"SACRAMENTO",30000008,"01May1979","01Nov2014","106034002",38.3507270813,-120.7646789551,""
30000112,"SUTTER MEMORIAL HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",348,"5151 F ST","SACRAMENTO",95819,"Maas, Larry","owenca@sutterhealth.org","(916) 733-8894","(916) 454-3333",440,"SACRAMENTO",3,"SACRAMENTO",30000102,"01Jan1946","31May2015","106341052",38.5707087815,-121.4398301393,""
30000134,"SUTTER ROSEVILLE MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",328,"1 MEDICAL PLAZA DR","ROSEVILLE",95661,"Brady, Patrick  R","bradyp@sutterhealth.org","(916) 781-1201","(916) 781-1000",410,"PLACER",3,"SACRAMENTO",30000083,"29Oct1952","31May2015","106311000",38.7651405334,-121.249786377,""
30000151,"SUTTER GENERAL HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",298,"2801 L ST","SACRAMENTO",95816,"Owen Plietz, Carrie","owenca@sutterhealth.org","(916) 733-8894","(916) 454-2222",440,"SACRAMENTO",3,"SACRAMENTO",30000102,"01Jan1946","31May2015","106341051",38.5720176697,-121.46925354,""
30000244,"PLANNED PARENTHOOD MAR MONTE B STREET HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"201 29TH ST","SACRAMENTO",95816,"lloret, William","","(916) 446-0640","(916) 446-6921",440,"SACRAMENTO",3,"SACRAMENTO",30000154,"12Sep1977","01Nov2014","",38.5818481445,-121.4638442993,""
30000247,"PLANNED PARENTHOOD - ROSEVILLE","COMMUNITY CLINIC 	","Non-LTC",0,"729 SUNRISE AVE","ROSEVILLE",95661,"Thompson, Martha","marthea_thompson@ppmarmonte.org","(916) 781-2338","(916) 781-3310",410,"PLACER",3,"SACRAMENTO",30000226,"07Feb1985","01Nov2014","",38.7344207764,-121.2703933716,""
30000248,"WELLSPACE HEALTH J STREET COMMUNITY HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"1820 J ST","SACRAMENTO",95811,"Lee, Jacqui","info@wellspacehealth.org","(916) 822-8974","(916) 737-5555",440,"SACRAMENTO",3,"SACRAMENTO",30000139,"04Oct1976","04Nov2014","",38.5772573948,-121.4822110534,""
30000251,"PLANNED PARENTHOOD","COMMUNITY CLINIC 	","Non-LTC",0,"678 N WILSON WAY","STOCKTON",95205,"Riley, Lisa","lisa_riley@pmarmonte.org","(209) 466-2083","(209) 466-2081",490,"SAN JOAQUIN",3,"SACRAMENTO",30000075,"08Jul1974","31Jan2015","",37.9624938965,-121.2708587646,""
30000301,"WOODLAND MEMORIAL HOSPITAL D/P APH","ACUTE PSYCHIATRIC HOSPITAL		","Non-LTC",31,"1325 COTTONWOOD ST","WOODLAND",95695,"","","","(530) 999-9999",670,"YOLO",3,"SACRAMENTO",30000115,"29Mar1967","30Nov2014","",38.6664962769,-121.7926330566,""
30000463,"HAMILTON, RICHARD A.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"3290 PROFESSIONAL DRIVE","AUBURN",95603,"","","","(001)001-9999",410,"PLACER",3,"SACRAMENTO",,"","","",38.944107,-121.100532,""
30000530,"OAK RIDGE HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",67,"310 OAK RIDGE DR","ROSEVILLE",95661,"Pollock, Jason","","(916) 782-1283","(916) 782-3188",410,"PLACER",3,"SACRAMENTO",30000302,"12Nov1963","01Nov2014","206312216",38.7420158386,-121.2701797485,""
30000786,"PLANNED PARENTHOOD - FRUITRIDGE","COMMUNITY CLINIC 	","Non-LTC",0,"5385 FRANKLIN BLVD","SACRAMENTO",95820,"Martinez, Andrea","Terry_Walsh@ppmarmonte.org","(916) 452-9753","(916) 452-7305",440,"SACRAMENTO",3,"SACRAMENTO",30000344,"01Apr1988","01Nov2014","",38.5262718201,-121.4715194702,""
30000787,"BROWN, CHARLES S.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"430 PALORA AVE., #C","YUBA CITY",95991,"","","","(530)674-2744",610,"SUTTER",3,"SACRAMENTO",,"","","",39.1280097961,-121.6338653564,""
30000795,"PLANNED PARENTHOOD - NORTH HIGHLANDS","COMMUNITY CLINIC 	","Non-LTC",0,"5700 WATT AVE","NORTH HIGHLANDS",95660,"Brokenbrough, Mona","mona_brokenbrough@ppmarmonte.org","(916) 332-1849","(916) 332-5715",440,"SACRAMENTO",3,"SACRAMENTO",30000346,"15Jun1988","01Nov2014","",38.6704172194,-121.3828325272,""
30000958,"VIBRANTCARE  OUTPATIENT REHABILITATION OF CALIFORNIA INC.","REHABILITATION CLINIC 	","Non-LTC",0,"250 ELM AVE","AUBURN",95603,"Walder, Joanne","","(530) 889-2451","(530) 889-2411",410,"PLACER",3,"SACRAMENTO",,"","","",38.9030646533,-121.0686533153,""
30001019,"PLANNED PARENTHOOD - WOODLAND","COMMUNITY CLINIC 	","Non-LTC",0,"520 COTTONWOOD ST","WOODLAND",95695,"Mitchell, Deborah","deborah_mitchell@ppmarmonte.org","(530) 662-4235","(530) 662-4646",670,"YOLO",3,"SACRAMENTO",30000411,"15Mar1991","01Nov2014","",38.6749343872,-121.7940826416,""
30001023,"SUTTER AUBURN SURGERY CENTER","SURGICAL CLINIC 	","Non-LTC",0,"3123 PROFESSIONAL DR","AUBURN",95603,"Angle, Toni  M","","(530) 888-7532","(530) 888-8899",410,"PLACER",3,"SACRAMENTO",30000425,"17May1991","27Nov2013","",38.9411811829,-121.1016082764,""
30001064,"MARSHALL MEDICAL CENTER D/P SNF","SKILLED NURSING FACILITY","LTC",14,"1100 MARSHALL WAY","PLACERVILLE",95667,"Whipple, James","","(530) 626-2708","(530) 622-1441",80,"EL DORADO",3,"SACRAMENTO",30000059,"22May1959","09Jun2015","",38.7245903015,-120.7911834717,""
30001103,"EDISON HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"1425 S CENTER ST","STOCKTON",95206,"Williams, Brent","bwilliams@deltahealthcare.org","(209) 751-3914","(209) 444-8300",490,"SAN JOAQUIN",3,"SACRAMENTO",30000682,"19Mar1999","19Mar2015","",37.9361076355,-121.2893218994,""
30001120,"THE BIRTHING PROJECT CLINIC","COMMUNITY CLINIC 	","Non-LTC",0,"1900 T ST","SACRAMENTO",95811,"Petko, Wendy j","wpetko.cchwb@yahoo.com","(916) 558-4806","(916) 558-4820",440,"SACRAMENTO",3,"SACRAMENTO",30000463,"08Dec1992","10Dec2014","",38.5659418255,-121.4858729392,""
30001186,"GRANT, ALAN D.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"1270 SUZANNE DRIVE","ANGELS CAMP",95221,"","","","(209)736-0816",40,"CALAVERAS",3,"SACRAMENTO",,"","","",38.0744531751,-120.5373492837,""
30001203,"PLACER MEDICAL CLINIC - TAHOE","COMMUNITY CLINIC 	","Non-LTC",0,"8665 SALMON AVE","KINGS BEACH",96143,"Jackson, M.D., John C","","(530) 546-4606","(530) 546-1970",410,"PLACER",3,"SACRAMENTO",,"","","",39.2363510132,-120.0214157105,""
30001204,"PLACER COUNTY MEDICAL CLINIC","COMMUNITY CLINIC 	","Non-LTC",0,"11583 C AVE","AUBURN",95603,"Jackson, M.D., John C","","","(530) 889-7215",410,"PLACER",3,"SACRAMENTO",,"","","",38.9395675063,-121.102739498,""
30001232,"PLANNED PARENTHOOD - CAPITOL PLAZA","COMMUNITY CLINIC 	","Non-LTC",0,"1125 10TH ST","SACRAMENTO",95814,"Mitchell, Deborah","andrea_martinez@ppmarmonte.org","(916) 446-2869","(916) 444-7966",440,"SACRAMENTO",3,"SACRAMENTO",30000514,"17Feb1994","01Nov2014","",38.5788720846,-121.4940040559,""
30001240,"NORTHERN VALLEY INDIAN HEALTH, INC.","COMMUNITY CLINIC 	","Non-LTC",0,"175 W COURT ST","WOODLAND",95695,"Wadhwa, Inder","contact@nvih.org","(530) 934-2204","(530) 661-4400",670,"YOLO",3,"SACRAMENTO",30000513,"15Dec1993","02Jul2014","",38.678543,-121.792358,""
30001528,"VIBRANTCARE OUTPATIENT REHABILITATION OF CALIFORNIA INC.","REHABILITATION CLINIC 	","Non-LTC",0,"965 E YOSEMITE AVE","MANTECA",95336,"Lear, Byron","","","(209) 823-3736",490,"SAN JOAQUIN",3,"SACRAMENTO",,"","","",37.7978210449,-121.2034683228,""
30001598,"PLANNED PARENTHOOD","COMMUNITY CLINIC 	","Non-LTC",0,"965 E YOSEMITE AVE","MANTECA",95336,"Casanovas, Martha","Charlotte_HunterBrown@ppmarmonte.org","(209) 239-8217","(209) 239-2528",490,"SAN JOAQUIN",3,"SACRAMENTO",30000666,"18Dec1998","18Dec2014","",37.7978210449,-121.2034683228,""
30001680,"PAIN DIAGNOSTIC & TREATMENT CENTER, L.P.","SURGICAL CLINIC 	","Non-LTC",0,"2805 J ST","SACRAMENTO",95816,"Monnier, Jessie","satkins@paindiagnostic.com","(916) 231-8759","(916) 231-8755",440,"SACRAMENTO",3,"SACRAMENTO",30000705,"28Aug2000","28Nov2007","",38.5738268495,-121.4689944685,""
30001686,"THE BIRTH CENTER, A NURSING CORPORATION","ALTERNATIVE BIRTHING CENTER	","Non-LTC",0,"5440 LAUREL HILLS DR","SACRAMENTO",95841,"Cummings, Ruth","info@sactobirth.com","(916) 344-1862","(916) 344-1860",440,"SACRAMENTO",3,"SACRAMENTO",30000708,"17Jul2000","17Nov2014","",38.6616821289,-121.3379974365,""
30001785,"PROCEDURE CENTER OF SOUTH SACRAMENTO","SURGICAL CLINIC 	","Non-LTC",0,"8120 TIMBERLAKE WAY","SACRAMENTO",95823,"Quast, Debra","tmjll@frontiernet.net","(916) 423-2127","(916) 423-2124",440,"SACRAMENTO",3,"SACRAMENTO",30000773,"30Jul2003","01Dec2008","",38.4617881775,-121.4140472412,""
30001793,"SUTTER AMADOR SURGERY CENTER","SURGICAL CLINIC 	","Non-LTC",0,"223 CLINTON RD","JACKSON",95642,"Harvey, Claudia","amadorsurgerycenter@yahoo.com","(209) 257-1599","(209) 223-5938",20,"AMADOR",3,"SACRAMENTO",30000778,"11Dec2003","11Dec2007","",38.3423696458,-120.7635265589,""
30001797,"TRACY OUTPATIENT SURGERY CENTER","SURGICAL CLINIC 	","Non-LTC",0,"530 W EATON AVE","TRACY",95376,"Bentz, Michelle","emmaquiazon@msn.com","(209) 835-3246","(209) 833-8797",490,"SAN JOAQUIN",3,"SACRAMENTO",30000782,"19Mar2004","19Mar2008","",37.7430229187,-121.4339523315,""
30001803,"SUTTER ROSEVILLE ENDOSCOPY CENTER","SURGICAL CLINIC 	","Non-LTC",0,"4 MEDICAL PLAZA DR","ROSEVILLE",95661,"Heaton, Bradley","","(916) 773-8785","(916) 773-8780",410,"PLACER",3,"SACRAMENTO",30000786,"16Nov2004","16Nov2007","",38.7658157349,-121.2462081909,""
30001808,"TUOLUMNE ME-WUK INDIAN HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"18880 CHERRY VALLEY BLVD","TUOLUMNE",95379,"Gorsky, Chris","information@tmwihc.org","(209) 928-5414","(209) 928-5797",650,"TUOLUMNE",3,"SACRAMENTO",30000790,"11Jan2005","11Jan2015","",37.9634492844,-120.2404327691,""
30001812,"WOODLAND SKILLED NURSING FACILITY","SKILLED NURSING FACILITY","LTC",91,"678 3RD ST","WOODLAND",95695,"Ellis-Sherinian, James","","(530) 662-3395","(530) 662-9643",670,"YOLO",3,"SACRAMENTO",30000003,"23Sep1969","16Jan2015","206571087",38.6722259521,-121.7713165283,""
30001821,"WOODSIDE HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",58,"2240 NORTHROP AVE","SACRAMENTO",95825,"Pollock, Jason G","","(916) 927-3630","(916) 927-9300",440,"SACRAMENTO",3,"SACRAMENTO",30000068,"21Apr1971","31Mar2015","206340960",38.5811233521,-121.4133987427,""
40000049,"GOLDEN LIVING CENTER - HY-LOND","SKILLED NURSING FACILITY","LTC",121,"3408 E SHIELDS AVE","FRESNO",93726,"Mcquone, Lisa","kenneth_evans@beverlycares.com","(559) 227-4097","(559) 227-4063",90,"FRESNO",4,"FRESNO",40000106,"","01May2015","206100731",36.7788848877,-119.767791748,""
40000272,"ABERNETHY, MARY","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"125 E. BARSTOW,#111","FRESNO",93710,"Abernethy, Mary","","","(559)221-0285",90,"FRESNO",4,"FRESNO",,"","","",36.8154945374,-119.7873458862,""
40000273,"FONDACARO, ALFRED P.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"985 SOUTH WILLOW, SUITE 104-105","FRESNO",93727,"Fondacaro, Alfred","","","(559)251-0890",90,"FRESNO",4,"FRESNO",,"","","",36.7325553894,-119.7270584106,""
40000274,"NELSON, ROBERT W.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"3004 NORTH FRESNO ST","FRESNO",93702,"Nelson, Robert","","","(559)226-6381",90,"FRESNO",4,"FRESNO",,"","","",36.777882725,-119.7814826667,""
40000275,"NIELSON, CLARICE","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"3680 EAST DAKOTA ST.","FRESNO",93726,"Nielsen, Clarice","","","(559)227-0653",90,"FRESNO",4,"FRESNO",,"","","",36.786795035,-119.7637016326,""
40000276,"PEPE, JOSEPH A.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"1100 W. SHAW AVE,130","FRESNO",93711,"Pepe, Joseph","","","(559)224-4847",90,"FRESNO",4,"FRESNO",,"","","",36.8089065552,-119.8113021851,""
40000278,"MOORE, COURTNEY J.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"2251 COUNTRY CLUB LN","SELMA",93662,"Moore, Courtney","","","(559)896-6565",90,"FRESNO",4,"FRESNO",,"","","",36.5663223267,-119.5998306274,""
40000279,"JACKSON, RICHARD","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"255 WEST BULLARD","CLOVIS",93612,"","","","(559)855-8840",90,"FRESNO",4,"FRESNO",,"","","",36.8234825134,-119.7150268555,""
40000280,"FERRANTE, HORACE J.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"255 WEST BULLARD","CLOVIS",93612,"Ferrante, Horace","","","(559)297-1712",90,"FRESNO",4,"FRESNO",,"","","",36.8234825134,-119.7150268555,""
40000281,"FERRANTE, HORACE J.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"48677 VICTORIA LANE/P.O. BOX 2365","OAKHURST",93644,"Ferrante, Horace","","","(559)683-4444",300,"MADERA",4,"FRESNO",,"","","",37.328094,-119.659461,""
40000282,"BACCI, ROBERT","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"215 W. CENTER STREET","HANFORD",93230,"Bacci, Robert","","","(559)582-1027",150,"KINGS",4,"FRESNO",,"","","",36.3310025632,-119.293731004,""
40000283,"DONALDSON-WINTERS, NIKKI","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"6073 NORTH FIRST ST.","FRESNO",93710,"Donaldson, Nikki","","","(559)432-0524",90,"FRESNO",4,"FRESNO",,"","","",36.824672699,-119.7742462158,""
40000285,"WINSTEAD, JOHN L.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"6073 NORTH FIRST ST.","FRESNO",93710,"Winstead, John","","","(559)432-0524",90,"FRESNO",4,"FRESNO",,"","","",36.824672699,-119.7742462158,""
40000289,"JOHNSON, GEORGEANNA","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"1601 LEWIS STREET/P.O. BOX 525","KINGSBURG",93631,"Johnson, Georgeanna","","","(559)897-5270",90,"FRESNO",4,"FRESNO",,"","","",36.515663,-119.549484,""
40000294,"CADWALLADER, HELEN","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"637 EAST ELM","COALINGA",93210,"","","","(559)935-0616",90,"FRESNO",4,"FRESNO",,"","","",36.1460227966,-120.3549194336,""
40000298,"GURTEL, LARRY S.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"700 WEST OLIVE AVENUE, SUITE E","MERCED",95348,"Gurtel, Larry","","","(209)383-5188",340,"MERCED",4,"FRESNO",,"","","",37.3187522888,-120.4802093506,""
40000299,"WEED, CATHY JO","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"2808 PARK AVE. STE B","MERCED",95348,"Weed, Cathy","","","(209)723-8144",340,"MERCED",4,"FRESNO",,"","","",37.31287,-120.471237,""
40000300,"MOLMEN, LINDA L.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"2808 PARK AVE. STE B","MERCED",95348,"Molmen, Linda","","","(209)723-8144",340,"MERCED",4,"FRESNO",,"","","",37.31287,-120.471237,""
40000340,"CENTRAL SAN JOAQUIN LANGUAGE AND SPEECH CLINIC","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"2141 HIGH ST., STE B","SELMA",93662,"Young, Lori","","","(559)896-8946",90,"FRESNO",4,"FRESNO",,"","","",36.5701570362,-119.6136005223,""
40000358,"FERRANTE, HORACE J.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"6061 N. FIRST, STE 102","FRESNO",93710,"Ferrante, Horace","","","(559)435-0123",90,"FRESNO",4,"FRESNO",,"","","",36.824035,-119.77423,""
40000446,"SULLEY, SUSAN E.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"3327 'M' ST., STE. A","MERCED",95348,"Sulley, Susan","","","(209)722-1030",340,"MERCED",4,"FRESNO",,"","","",37.324298,-120.47998,""
40000457,"MHS FOR MARIPOSA COUNTY - MARIPOSA COUNSELING CTR","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"5085 BULLION STREET","MARIPOSA",95338,"Risinger, Larry","","","(209)966-2000",320,"MARIPOSA",4,"FRESNO",,"","","",37.4884376526,-119.9676437378,""
40000480,"MHS FOR KINGS COUNTY","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"1392 BAILEY DRIVE","HANFORD",93230,"Davis, Charles","","","(559)582-4481",150,"KINGS",4,"FRESNO",,"","","",36.3273628056,-119.6662516147,""
40000481,"MHS FOR KINGS COUNTY-CORCORAN COMM COUNSELING CTR","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"1326 PATTERSON","CORCORAN",93212,"Breister, Karl","","","(559)992-5284",150,"KINGS",4,"FRESNO",,"","","",36.102016449,-119.5651397705,""
40000482,"MHS FOR KINGS COUNTY-AVENAL OUTREACH CLINIC","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"590 SKYLINE BLVD.","AVENAL",93204,"Davis, Charles","","","(209)366-5222",150,"KINGS",4,"FRESNO",,"","","",36.0038099438,-120.1299136877,""
40000483,"MHS FOR KINGS COUNTY-LEMOORE COUNSELING SERVICES","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"55 EAST  'D' ST., STE M","LEMOORE",93245,"Davis, Charles","","","(559)924-1294",150,"KINGS",4,"FRESNO",,"","","",36.301738739,-119.7799530029,""
40000484,"MHS FOR MADERA COUNTY","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"14277 ROAD 28","MADERA",93639,"Risinger, Larry","","","(559)673-3508",300,"MADERA",4,"FRESNO",,"","","",36.9528884888,-120.0377120972,""
40000485,"MHS FOR MADERA COUNTY - OAKHURST COUNSELING CENTER","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"49269 GOLDEN OAK #203, PO BOX 2131","OAKHURST, BOX 2131",93644,"Risinger, Larry","","","(559)683-4809",300,"MADERA",4,"FRESNO",,"","","",37.3322608,-119.6491117,""
40000491,"ADAMS, THOMAS E.","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"6335 N. FRESNO STREET","FRESNO",93710,"Adams, Thomas","","","(559)435-6735",90,"FRESNO",4,"FRESNO",,"","","",36.8291053772,-119.7829742432,""
40000494,"FRESNO COUNTY DAY TREATMENT CENTER","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"1221 FULTON MALL","FRESNO",93721,"Petrutis, George","","","(559)445-3418",90,"FRESNO",4,"FRESNO",,"","","",36.7362179607,-119.792739898,""
40000495,"MHS FOR FRESNO COUNTY-VALLEY MEDICAL CENTER INPT","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"445 SOUTH CEDAR","FRESNO",93702,"Schaeffer, Ed","","","(559)453-4000",90,"FRESNO",4,"FRESNO",,"","","",36.7390168458,-119.7543299943,""
40000496,"FRESNO COUNTY DMH-PREADOLESCENT DAY TREATMENT","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"650 WEST SIERRA AVE","FRESNO",93704,"Petrutis, Geprge","","","(559)441-3278",90,"FRESNO",4,"FRESNO",,"","","",36.8301247805,-119.8048111796,""
40000497,"FRESNO COUNTY DMH-PREVOCATIONAL DEVELOPMENT CENTER","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"1221 FULTON MALL","FRESNO",93721,"Weibel, Robert","","","(559)445-3290",90,"FRESNO",4,"FRESNO",,"","","",36.7362179607,-119.792739898,""
40000500,"MHS FOR FRESNO COUNTY-KERMAN RURAL HEALTH CLINIC","UNLICENSED/OTHER/MISSING","Unlicensed/Other/Missing",0,"275 S. MADERA, SUITE 103","KERMAN",93630,"Arriaga, Mary","","","(559)846-7500",90,"FRESNO",4,"FRESNO",,"","","",36.7316246033,-120.0605697632,""
