"iso2c","iso3c","country","year","gdp_percap","population","birth_rate","neonat_mortal_rate","region","income"
"AG","ATG","Antigua and Barbuda",2013,21008.1469806563,89985,16.447,5.3,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2009,21671.3757490895,86300,17.218,6.3,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",1993,12415.4125099762,64868,19.274,12.9,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",1994,13141.2021346337,66550,19.54,12.3,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2005,19067.0682963067,82565,18.599,7.5,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2002,15372.5781886274,80030,19.724,8.6,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2003,16426.9243062482,80904,19.374,8.2,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2007,24503.8448722277,84397,17.849,6.9,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2012,20956.336421157,89069,16.594,5.5,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",1995,12516.6004050914,68349,19.816,11.7,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2008,24723.1118920226,85350,17.514,6.6,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2010,20151.3098656076,87233,16.968,6,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2001,14907.0726348617,78972,20.022,9,"Latin America & Caribbean","Upper middle income"
"AG","ATG","Antigua and Barbuda",2006,22040.9136607626,83467,18.214,7.2,"Latin America & Caribbean","Upper middle income"
"AL","ALB","Albania",2004,5652.6026727677,3026939,13.036,9.8,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2002,4785.8809807427,3051010,14.642,10.7,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1994,2413.6632037206,3207536,21.854,12.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2009,9342.0812456971,2927519,11.679,7.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2003,5182.4903673827,3039616,13.806,10.3,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1999,3684.9451529961,3108778,17.302,11.7,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1995,2809.0149080473,3187784,20.98,12.7,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2008,8769.0943361725,2947314,11.561,8.2,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2001,4508.632005921,3060173,15.513,11,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2005,6199.9127268606,3011487,12.383,9.4,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1992,1921.1634197182,3247039,23.464,13,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1997,2865.5075101223,3148281,19.15,12.3,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2007,7658.4085780881,2970017,11.631,8.5,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2013,10412.4417209438,2896652,13.106,6.8,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2014,11167.0225730627,2893654,13.414,6.5,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1991,2011.8417150005,3266790,24.173,13.2,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2011,9640.1445926758,2904780,12.325,7.2,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2006,7066.7256445028,2992547,11.906,8.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1990,2748.6227275163,3286542,24.789,13.4,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2000,4045.7520686081,3089027,16.401,11.3,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1993,2168.8862314203,3227287,22.686,12.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2010,9303.9324756695,2913021,11.952,7.5,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",2012,10361.433216136,2900247,12.73,7,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1998,3177.4907858974,3128530,18.22,11.9,"Europe & Central Asia","Upper middle income"
"AL","ALB","Albania",1996,3140.0369860398,3168033,20.075,12.5,"Europe & Central Asia","Upper middle income"
"AM","ARM","Armenia",2008,7097.9121733627,2975029,14.101,10.6,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1992,1347.49100775,3449497,19.546,21.9,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1993,1287.9551074968,3369673,18.348,21.2,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2003,3510.3168080815,3036420,13.741,13.7,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2004,3998.1431365046,3025982,13.949,13,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1997,1840.696008018,3137652,14.16,18.3,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2002,3007.2193932467,3047249,13.511,14.4,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2014,8099.2083257793,3006154,13.157,7.7,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2007,6483.5046492608,2988117,14.161,11.1,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2006,5526.0928057823,3002161,14.164,11.8,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1994,1419.9927421365,3289943,17.123,20.5,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1995,1581.7337897764,3223173,15.962,19.8,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2013,7734.7801667997,2992192,13.308,8.2,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1999,2123.6132402097,3093820,13.286,16.7,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2000,2313.3319457031,3076098,13.203,15.9,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2009,6158.3014523658,2966108,13.986,10,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1990,2414.4049260907,3544695,21.6,23,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2012,7401.8563976946,2978339,13.474,8.6,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1996,1731.8074157987,3173425,14.957,19.1,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2001,2605.7716178735,3060036,13.306,15.1,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1991,2223.4442628549,3511912,20.652,22.5,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2010,6376.2682174205,2963496,13.83,9.5,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2011,6803.4829970848,2967984,13.652,9.1,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",2005,4716.2432726517,3014917,14.097,12.4,"Europe & Central Asia","Lower middle income"
"AM","ARM","Armenia",1998,2012.3388940948,3112958,13.6,17.5,"Europe & Central Asia","Lower middle income"
"AO","AGO","Angola",1992,2836.1292436479,11848971,52.475,59.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1991,3076.2560083974,11472173,52.585,59.2,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1999,2972.3219381436,14601983,51.268,58.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2004,3256.6537539828,17295500,49.895,56.7,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2007,5613.2321962174,19183907,48.888,55,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2003,2961.9645717967,16691395,50.182,57.2,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1996,2603.0743432148,13424813,51.914,59.5,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1997,2778.7435427398,13801868,51.723,59.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2010,6360.8489801293,21219954,47.529,52.6,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2001,3131.9958580278,15562791,50.739,58.2,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2002,2858.8970687886,16109696,50.463,57.5,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2000,3036.5597277301,15058638,51.009,58.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1993,2115.3951005353,12246786,52.357,59.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2005,3838.2645717494,17912942,49.592,56.1,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1998,2918.4514058559,14187710,51.508,58.9,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1994,2165.0150700445,12648483,52.227,59.3,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1995,2366.2840555049,13042666,52.081,59.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2008,6298.0124397843,19842251,48.473,54.1,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2011,6524.4811808409,21942296,47.018,51.9,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2009,6284.27490493,20520103,48.018,53.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2013,7097.840137926,23448202,45.985,50.4,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",1990,3106.5546251804,11127870,52.688,59.1,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2014,7317.8340732653,24227524,45.483,49.6,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2006,4614.5908093565,18541467,49.259,55.5,"Sub-Saharan Africa","Lower middle income"
"AO","AGO","Angola",2012,6758.2780498657,22685632,46.499,51.1,"Sub-Saharan Africa","Lower middle income"
"AR","ARG","Argentina",2012,,42095224,17.874,7,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1992,,33655149,21.366,14.7,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2010,,41222875,18.153,7.5,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2011,,41655616,18.018,7.2,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2002,,37889443,19.199,10.6,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2000,,37057453,19.413,11.3,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1997,,35833965,19.948,12,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2005,,39145491,18.833,9.2,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2003,,38309475,19.089,10,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2004,,38728778,18.968,9.5,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1990,,32729740,21.804,15.4,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1991,,33193920,21.603,15,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2001,,37471535,19.302,11.1,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1999,,36648054,19.551,11.3,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1996,,35419683,20.21,12.6,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2014,,42980026,17.544,6.5,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2008,,40381860,18.414,8.1,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2006,,39558750,18.691,8.8,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1998,,36241578,19.727,11.5,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2009,,40798641,18.283,7.8,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1994,,34558114,20.804,14,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1995,,34994818,20.501,13.3,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2013,,42538304,17.716,6.8,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",1993,,34110912,21.097,14.4,"Latin America & Caribbean","Upper middle income"
"AR","ARG","Argentina",2007,,39969903,18.55,8.5,"Latin America & Caribbean","Upper middle income"
"AS","ASM","American Samoa",1992,,49597,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1996,,53926,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2003,,59117,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1997,,54942,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1998,,55899,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2012,,55227,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1991,,48379,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1993,,50725,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2011,,55316,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1994,,51807,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2008,,57031,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2009,,56226,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2006,,58648,21.6,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2001,,58176,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2002,,58729,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2007,,57904,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2000,,57522,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2004,,59262,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2005,,59117,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1990,,47044,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1995,,52874,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2010,,55636,18.7,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2013,,55302,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",2014,,55434,,,"East Asia & Pacific","Upper middle income"
"AS","ASM","American Samoa",1999,,56768,,,"East Asia & Pacific","Upper middle income"
"AT","AUT","Austria",1994,22652.459881176,7936118,11.6,3.7,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2001,29856.6036414545,8042293,9.4,3.1,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",1993,21743.6361793698,7905633,12,4,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2006,37626.1441765716,8268641,9.4,2.8,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2000,29566.2476733511,8011566,9.8,3.1,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",1999,27752.7177491225,7992324,9.8,3.1,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2013,47416.2846696348,8479375,9.4,2.3,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2014,47706.4882473346,8541575,9.6,2.2,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2005,34691.2089614866,8227829,9.5,2.8,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2010,41892.7758492156,8363404,9.4,2.5,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2007,39234.3228786562,8295487,9.2,2.7,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",1992,21301.9629722492,7840709,12.2,4.2,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",1996,24573.1818278842,7959017,11.2,3.4,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",1991,20625.8813298224,7754891,12.2,4.4,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2011,44022.3952746168,8391643,9.3,2.4,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",1995,23705.5420437344,7948278,11.2,3.5,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2012,45858.2468363681,8429991,9.4,2.4,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2003,32202.4455590608,8121423,9.5,3,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2002,31261.5516292637,8081957,9.7,3,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",1998,26728.585924931,7976789,10.2,3.2,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",1990,19490.937244881,7677850,11.8,4.6,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2009,40620.3921570465,8343323,9.2,2.6,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",1997,25532.1517484631,7968041,10.5,3.2,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2008,41151.585043147,8321496,9.3,2.6,"Europe & Central Asia","High income: OECD"
"AT","AUT","Austria",2004,33800.7021063805,8171966,9.7,2.9,"Europe & Central Asia","High income: OECD"
"AU","AUS","Australia",2007,36563.4682249116,20827600,14.1,3.1,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2014,45937.3000394504,23464086,12.9,2.3,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2008,37479.2891201982,21249200,14,3,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2012,42596.2941186879,22728254,13.7,2.5,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",1997,22990.7070882274,18517000,13.6,3.6,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",1993,19164.9049784648,17667000,14.7,4,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",1990,17362.3771306073,17065100,15.4,4.6,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",1991,17815.7947370697,17284000,14.9,4.4,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2013,45476.9765882814,23117353,13.3,2.4,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2002,28685.30613792,19651400,12.8,3.4,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2005,32559.4592872484,20394800,12.8,3.3,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",1994,20088.1173707488,17855000,14.5,3.9,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2000,26373.9696831642,19153000,13,3.5,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2009,40257.1686174765,21691700,13.9,2.9,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",1998,24216.7334319332,18711000,13.3,3.6,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",1999,25268.5198066101,18926000,13.1,3.5,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2003,29693.4185072851,19895400,12.6,3.4,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2001,27398.6820277778,19413000,12.7,3.5,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2006,34322.9183318446,20697900,12.9,3.2,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",2010,39168.256719609,22031750,13.7,2.8,"East Asia & Pacific","High income: OECD"
"AU","AUS","Australia",1996,22048.0166395581,18311000,13.9,3.7,"East Asia & Pacific","High income: OECD"
